사업부,월,매출액,수출비중,원화매출액,매출원가,매출총이익,판관비,영업이익,EBITDA,영업현금흐름,AR회전일수,AP회전일수
차량소재,2025-05,61760,87.7,7596,54686,7074,2531,4544,4914,3858,64,48
차량소재,2025-06,63785,84.6,9823,56600,7185,2557,4628,5011,3952,61,52
차량소재,2025-07,64052,88.2,7558,56556,7496,2550,4946,5331,3119,49,51
차량소재,2025-08,67429,88.8,7552,58804,8625,2738,5887,6291,4409,50,57
차량소재,2025-09,63929,92.0,5114,56745,7184,2499,4686,5069,3000,65,46
차량소재,2025-10,64174,91.5,5455,56716,7458,2664,4794,5179,4035,57,41
차량소재,2025-11,65099,86.7,8658,57360,7740,2677,5062,5453,2818,65,42
차량소재,2025-12,63824,91.1,5680,56392,7432,2593,4839,5222,4249,58,43
차량소재,2026-01,65428,90.0,6543,58294,7134,2414,4721,5113,3842,68,40
차량소재,2026-02,64598,87.4,8139,57023,7574,2637,4938,5325,4117,62,52
차량소재,2026-03,66893,86.0,9365,59303,7590,2782,4808,5209,3949,59,48
차량소재,2026-04,68004,89.9,6868,60778,7226,2886,4339,4747,2619,59,44
차량소재,2026-05,64111,88.5,7373,57383,6727,2519,4208,4592,2728,59,45
차량소재,2026-06,66855,88.4,7755,58857,7998,2891,5108,5509,4306,65,45
화학에너지,2024-07,71565,64.5,25406,63963,7602,2880,4722,5152,3362,58,40
화학에너지,2024-08,72231,62.8,26870,65407,6824,3133,3691,4124,2137,48,45
화학에너지,2024-09,75481,62.2,28532,67639,7842,3014,4827,5280,3873,52,48
화학에너지,2024-10,72631,66.0,24695,65147,7484,2870,4614,5049,2614,62,41
화학에너지,2024-11,73230,63.6,26656,65245,7984,2983,5002,5441,3749,63,56
화학에너지,2024-12,73279,65.3,25428,66110,7169,2827,4342,4782,3550,69,49
화학에너지,2025-01,73640,64.4,26216,65956,7684,2799,4885,5327,2302,55,43
화학에너지,2025-02,76847,67.5,24975,69126,7721,3032,4689,5151,2880,68,43
화학에너지,2025-03,71497,62.6,26740,64040,7457,3053,4404,4833,3103,64,45
화학에너지,2025-04,72641,63.7,26369,64783,7857,2839,5018,5454,4299,61,48
화학에너지,2025-05,74956,62.4,28183,67745,7211,2987,4225,4674,2962,54,52
화학에너지,2025-06,73003,62.9,27084,65836,7167,2594,4573,5011,3533,60,51
화학에너지,2025-07,74430,62.3,28060,67294,7136,2901,4235,4682,3662,52,41
화학에너지,2025-08,73439,62.0,27907,65493,7946,2844,5102,5542,4176,68,41
화학에너지,2025-09,70269,61.6,26983,62779,7491,2844,4646,5068,4083,62,45
화학에너지,2025-10,74542,63.2,27431,67140,7401,2910,4491,4939,4287,68,48
화학에너지,2025-11,74278,64.9,26072,67535,6743,2918,3825,4271,3158,55,60
화학에너지,2025-12,72933,63.3,26766,65392,7541,2738,4803,5241,4445,63,49
화학에너지,2026-01,75666,62.1,28677,67709,7957,3045,4913,5367,3067,67,48
화학에너지,2026-02,74466,62.7,27776,67168,7298,2987,4311,4757,3164,47,50
화학에너지,2026-03,74779,63.6,27220,66947,7832,2861,4972,5420,4794,57,45
화학에너지,2026-04,72789,61.9,27733,64776,8013,2958,5054,5491,4204,63,52
화학에너지,2026-05,72163,60.2,28721,65140,7023,2975,4048,4481,3139,54,53
화학에너지,2026-06,75943,64.5,26960,68230,7713,2876,4838,5293,3244,56,50
전력플랜트,2024-07,45759,91.5,3890,39085,6673,2220,4454,4728,2898,89,48
전력플랜트,2024-08,46065,92.5,3455,39375,6690,2112,4577,4854,3407,100,46
전력플랜트,2024-09,47580,93.1,3283,40889,6692,2331,4361,4646,4244,96,54
전력플랜트,2024-10,47508,92.6,3516,40029,7479,2239,5240,5525,3583,96,54
전력플랜트,2024-11,48176,90.3,4673,41182,6994,2215,4780,5069,3411,100,50
전력플랜트,2024-12,51369,93.4,3390,44146,7223,2316,4907,5215,3048,95,55
전력플랜트,2025-01,50643,91.1,4507,42958,7685,2426,5259,5563,3980,95,52
전력플랜트,2025-02,51805,93.4,3419,44429,7376,2186,5190,5501,4270,93,50
전력플랜트,2025-03,55214,95.4,2540,47401,7813,2405,5409,5740,4081,98,56
전력플랜트,2025-04,55201,92.2,4306,47175,8026,2376,5651,5982,3481,97,43
전력플랜트,2025-05,56067,92.4,4261,48002,8066,2386,5680,6016,4629,95,37
전력플랜트,2025-06,54953,91.1,4891,47240,7713,2479,5234,5564,3956,90,55
전력플랜트,2025-07,58597,94.9,2988,50163,8435,2685,5750,6102,4661,91,54
전력플랜트,2025-08,60789,94.6,3283,51310,9479,2385,7093,7458,4947,91,41
전력플랜트,2025-09,63476,91.7,5269,54437,9039,2953,6086,6467,4682,87,64
전력플랜트,2025-10,60679,94.2,3519,52280,8399,2644,5755,6120,4486,91,44
전력플랜트,2025-11,62776,93.2,4269,53284,9492,2647,6845,7222,4616,100,58
전력플랜트,2025-12,65644,95.1,3217,55788,9857,2674,7183,7576,7166,91,44
전력플랜트,2026-01,66120,93.8,4099,57008,9111,2633,6478,6875,5893,95,48
전력플랜트,2026-02,69649,91.3,6059,59844,9805,2622,7183,7601,5131,88,40
전력플랜트,2026-03,70654,90.9,6430,61190,9465,2658,6807,7231,6059,91,45
전력플랜트,2026-04,71363,92.2,5566,61602,9761,2963,6798,7226,5591,92,50
전력플랜트,2026-05,72358,91.1,6440,61511,10848,2879,7969,8403,6444,88,45
전력플랜트,2026-06,74234,95.0,3712,63453,10781,3182,7599,8044,6455,94,50
물류솔루션,2024-07,28287,53.9,13040,24776,3512,1670,1842,2012,1316,61,44
물류솔루션,2024-08,28365,56.9,12225,24604,3761,1651,2110,2280,1675,49,50
물류솔루션,2024-09,28219,60.3,11203,24363,3856,1684,2172,2342,1097,58,51
물류솔루션,2024-10,29476,57.5,12527,25472,4003,1671,2332,2509,1525,64,46
물류솔루션,2024-11,28481,55.5,12674,24935,3545,1745,1801,1972,1608,51,58
물류솔루션,2024-12,28907,55.0,13008,25186,3720,1825,1896,2069,1620,66,50
물류솔루션,2025-01,28901,57.8,12196,25167,3734,1718,2016,2189,1542,64,40
물류솔루션,2025-02,27815,58.5,11543,24247,3568,1688,1881,2048,1639,59,51
물류솔루션,2025-03,29670,53.5,13797,25971,3700,1746,1953,2131,1222,54,44
물류솔루션,2025-04,30240,56.2,13245,26230,4010,1795,2215,2396,1451,75,50
물류솔루션,2025-05,29804,53.7,13799,26400,3404,1631,1773,1952,1119,64,47
물류솔루션,2025-06,29056,55.8,12843,24852,4204,1612,2592,2766,1683,63,57
물류솔루션,2025-07,29765,49.4,15061,26137,3628,1760,1868,2047,1572,62,45
물류솔루션,2025-08,30843,53.1,14465,27216,3626,1783,1844,2029,879,65,53
물류솔루션,2025-09,30477,55.2,13654,26390,4086,1756,2330,2513,1737,64,41
물류솔루션,2025-10,31340,56.9,13508,27213,4128,1684,2444,2632,2045,55,43
물류솔루션,2025-11,29629,54.0,13629,25983,3646,1752,1895,2073,1437,63,49
물류솔루션,2025-12,31690,55.8,14007,27691,4000,1751,2249,2439,1535,64,45
물류솔루션,2026-01,30417,56.7,13171,26725,3692,1672,2020,2202,1551,52,48
물류솔루션,2026-02,31780,56.1,13951,27723,4057,1777,2280,2471,1622,61,43
물류솔루션,2026-03,30898,56.5,13441,27193,3705,1728,1978,2163,1616,49,52
물류솔루션,2026-04,31147,53.1,14608,27088,4059,1874,2185,2371,1644,52,51
물류솔루션,2026-05,30964,56.9,13345,26752,4212,1794,2418,2604,1522,50,47
물류솔루션,2026-06,33645,53.5,15645,29332,4313,1820,2493,2695,1659,73,48
식량자원,2024-07,37331,43.7,21017,33081,4250,2072,2178,2402,1461,26,49
식량자원,2024-08,33821,43.4,19143,30288,3533,1818,1715,1918,1626,32,49
식량자원,2024-09,37699,44.8,20810,33638,4061,1806,2256,2482,1112,37,48
식량자원,2024-10,40172,41.0,23701,36294,3878,2114,1765,2006,1252,46,44
식량자원,2024-11,39625,45.4,21635,35640,3984,2071,1913,2151,1248,44,62
식량자원,2024-12,39158,46.3,21028,34740,4418,1976,2442,2677,1328,41,47
식량자원,2025-01,35152,38.7,21548,31539,3613,1786,1827,2038,788,35,51
식량자원,2025-02,35674,44.7,19728,32612,3062,1694,1368,1582,1138,45,50
식량자원,2025-03,39325,41.4,23044,35021,4304,1918,2386,2622,1899,40,51
식량자원,2025-04,45131,40.0,27079,40070,5061,2072,2990,3260,1994,28,52
식량자원,2025-05,44342,44.8,24477,39923,4419,2288,2131,2397,1872,39,50
식량자원,2025-06,40562,42.6,23283,35999,4563,2036,2527,2770,2851,25,42
식량자원,2025-07,35473,44.5,19688,31436,4036,1829,2207,2420,1835,40,44
식량자원,2025-08,35283,40.1,21135,31582,3701,1940,1761,1973,1591,35,44
식량자원,2025-09,37860,42.7,21694,33884,3976,1897,2079,2306,1494,41,42
식량자원,2025-10,41571,43.8,23363,37372,4199,2027,2172,2421,1401,28,48
식량자원,2025-11,40603,42.1,23509,36318,4285,2016,2269,2513,1260,28,47
식량자원,2025-12,41101,45.8,22277,36419,4682,2052,2630,2877,1601,38,46
식량자원,2026-01,37327,42.6,21426,33518,3809,1869,1940,2164,1398,39,41
식량자원,2026-02,36969,44.0,20703,32833,4135,2072,2064,2285,1678,45,39
식량자원,2026-03,41319,40.6,24543,36824,4495,2042,2453,2701,2016,39,45
식량자원,2026-04,44411,42.2,25670,39561,4850,2173,2677,2944,2417,36,47
식량자원,2026-05,46457,42.7,26620,41658,4799,2124,2676,2954,2159,49,47
식량자원,2026-06,42263,42.3,24386,37494,4769,2183,2586,2840,2311,34,40
그린에너지,2024-07,20669,73.9,5395,18215,2453,1501,952,1076,491,57,40
그린에너지,2024-08,21193,77.1,4853,18636,2557,1576,981,1108,599,62,54
그린에너지,2024-09,21479,75.8,5198,19152,2327,1384,943,1071,853,69,43
그린에너지,2024-10,22709,78.6,4860,20033,2676,1643,1033,1169,930,57,51
그린에너지,2024-11,22674,76.7,5283,20106,2569,1485,1084,1220,838,64,39
그린에너지,2024-12,22915,78.2,4995,20556,2359,1473,885,1023,571,55,43
그린에너지,2025-01,22273,76.8,5167,19781,2493,1455,1038,1171,964,66,52
그린에너지,2025-02,22756,72.9,6167,20358,2398,1511,887,1023,738,75,47
그린에너지,2025-03,23520,77.5,5292,21186,2335,1592,743,884,627,58,57
그린에너지,2025-04,23467,76.8,5444,20956,2512,1578,934,1074,604,66,48
그린에너지,2025-05,24820,77.3,5634,22304,2516,1637,879,1028,641,57,52
그린에너지,2025-06,24563,80.0,4913,21878,2685,1637,1048,1196,760,69,45
그린에너지,2025-07,25573,74.1,6623,22952,2621,1614,1007,1161,724,54,40
그린에너지,2025-08,24969,78.0,5493,22641,2328,1613,715,865,638,48,44
그린에너지,2025-09,25924,77.3,5885,23425,2499,1559,939,1095,934,69,52
그린에너지,2025-10,25218,78.7,5371,23038,2180,1600,580,731,623,58,43
그린에너지,2025-11,27457,76.9,6343,24740,2717,1769,947,1112,820,60,48
그린에너지,2025-12,25900,78.5,5568,23794,2106,1614,492,648,406,64,50
그린에너지,2026-01,26774,76.5,6292,24589,2186,1718,468,629,403,60,51
그린에너지,2026-02,26830,76.1,6412,24929,1901,1664,237,398,191,61,54
그린에너지,2026-03,26750,77.2,6099,24761,1989,1725,264,425,177,63,48
그린에너지,2026-04,27690,74.7,7006,25396,2294,1657,637,803,315,66,48
그린에너지,2026-05,28358,77.0,6522,26291,2067,1683,384,555,308,63,41
그린에너지,2026-06,29571,77.7,6594,27495,2076,1878,198,375,100,62,47
