TxnID,ValueDate,Description,Debit,Credit,Balance_KRW_k,CCY,FXRate
BK00033,04/25/2026,INTEREST,,499000,11990638,KRW,1.0
BK00034,04/25/2026,TT REMITTANCE IN,,977000,13461814,EUR,1505.81
BK00035,04/26/2026,PAYROLL,356000,,12974742,USD,1368.18
BK00036,04/27/2026,PAYROLL,1155000,,11390221,USD,1371.88
BK00037,04/28/2026,EXPORT PROCEEDS,,650000,12305603,USD,1408.28
BK00038,04/28/2026,TT REMITTANCE IN,,79000,12415856,USD,1395.61
BK00039,04/29/2026,EXPORT PROCEEDS,,282000,12804020,USD,1376.47
BK00040,04/30/2026,EXPORT PROCEEDS,,1423000,14775359,USD,1385.34
BK00041,05/01/2026,LC NEGOTIATION,,716000,15765143,USD,1382.38
BK00042,05/01/2026,LC NEGOTIATION,,400000,16310911,USD,1364.42
BK00043,05/02/2026,INTEREST,,1150000,16312061,KRW,1.0
BK00044,05/03/2026,TT REMITTANCE IN,,711000,17287781,USD,1372.32
BK00045,05/04/2026,LC NEGOTIATION,,794000,18397189,USD,1397.24
BK00046,05/04/2026,TT REMITTANCE IN,,492000,19090717,USD,1409.61
BK00047,05/05/2026,TT REMITTANCE OUT,1058000,,19089659,KRW,1.0
BK00048,05/06/2026,PAYROLL,585000,,19089074,KRW,1.0
BK00049,05/07/2026,EXPORT PROCEEDS,,747000,19089821,KRW,1.0
BK00050,05/07/2026,FREIGHT CHARGE,22000,,19089799,KRW,1.0
BK00051,05/08/2026,TT REMITTANCE OUT,1151000,,17478365,USD,1400.03
BK00052,05/09/2026,INTEREST,,164000,17704378,USD,1378.13
BK00053,05/10/2026,BANK FEE,404000,,17105792,EUR,1481.65
BK00054,05/10/2026,INTEREST,,941000,17106733,KRW,1.0
BK00055,05/11/2026,EXPORT PROCEEDS,,1013000,18500205,USD,1375.59
BK00056,05/12/2026,FREIGHT CHARGE,229000,,18185108,USD,1375.97
BK00057,05/13/2026,FREIGHT CHARGE,701000,,17119658,EUR,1519.9
BK00058,05/13/2026,INTEREST,,755000,17120413,KRW,1.0
BK00059,05/14/2026,INTEREST,,863000,18322581,USD,1393.01
BK00060,05/15/2026,LC NEGOTIATION,,799000,18323380,KRW,1.0
BK00061,05/16/2026,EXPORT PROCEEDS,,136000,18509719,USD,1370.14
BK00062,05/16/2026,IMPORT PAYMENT,417000,,17928091,USD,1394.79
BK00063,05/17/2026,TT REMITTANCE OUT,472000,,17927619,KRW,1.0
BK00064,05/18/2026,EXPORT PROCEEDS,,1497000,19978509,USD,1370.0
BK00065,05/19/2026,TT REMITTANCE OUT,997000,,19977512,KRW,1.0
BK00066,05/19/2026,TT REMITTANCE IN,,1241000,19978753,KRW,1.0
BK00067,05/20/2026,TT REMITTANCE IN,,886000,21206413,USD,1385.62
BK00068,05/21/2026,EXPORT PROCEEDS,,1124000,22788814,USD,1407.83
BK00069,05/22/2026,EXPORT PROCEEDS,,811000,22789625,KRW,1.0
BK00070,05/22/2026,LC NEGOTIATION,,729000,23798036,USD,1383.28
BK00071,05/23/2026,INTEREST,,1107000,25320426,USD,1375.24
BK00072,05/24/2026,INTEREST,,510000,26023757,USD,1379.08
BK00073,05/25/2026,FREIGHT CHARGE,1163000,,24423423,USD,1376.04
BK00074,05/25/2026,TT REMITTANCE IN,,1023000,25858068,USD,1402.39
BK00075,05/26/2026,BANK FEE,708000,,25857360,KRW,1.0
BK00076,05/27/2026,INTEREST,,1173000,27496874,USD,1397.71
BK00077,05/28/2026,LC NEGOTIATION,,1363000,27498237,KRW,1.0
BK00078,05/28/2026,BANK FEE,368000,,27497869,KRW,1.0
BK00079,05/29/2026,TT REMITTANCE OUT,808000,,26378005,USD,1385.97
BK00080,05/30/2026,INTEREST,,1450000,28371334,USD,1374.71
BK00081,05/31/2026,TT REMITTANCE IN,,179000,28618369,USD,1380.08
BK00082,05/31/2026,PAYROLL,370000,,28068301,EUR,1486.67
BK00083,06/01/2026,EXPORT PROCEEDS,,1065000,29655257,EUR,1490.1
BK00084,06/02/2026,TT REMITTANCE OUT,713000,,28657742,USD,1399.04
BK00085,06/03/2026,FREIGHT CHARGE,1083000,,27172949,USD,1371.0
BK00086,06/03/2026,IMPORT PAYMENT,848000,,26004066,USD,1378.4
BK00087,06/04/2026,FREIGHT CHARGE,986000,,24634048,USD,1389.47
BK00088,06/05/2026,TT REMITTANCE IN,,759000,25677711,USD,1375.05
BK00089,06/06/2026,LC NEGOTIATION,,634000,26558026,USD,1388.51
BK00090,06/06/2026,PAYROLL,925000,,26557101,KRW,1.0
BK00091,06/07/2026,INTEREST,,176000,26802415,USD,1393.83
BK00092,06/08/2026,FREIGHT CHARGE,429000,,26201348,USD,1401.09
BK00093,06/09/2026,TT REMITTANCE OUT,530000,,26200818,KRW,1.0
BK00094,06/09/2026,TT REMITTANCE IN,,1176000,26201994,KRW,1.0
BK00095,06/10/2026,LC NEGOTIATION,,387000,26784367,EUR,1504.84
BK00096,06/11/2026,TT REMITTANCE IN,,1021000,28182187,USD,1369.07
BK00097,06/12/2026,LC NEGOTIATION,,129000,28182316,KRW,1.0
BK00098,06/12/2026,PAYROLL,507000,,27470422,USD,1404.13
BK00099,06/13/2026,TT REMITTANCE IN,,338000,27979102,EUR,1504.97
BK00100,06/14/2026,IMPORT PAYMENT,196000,,27709726,USD,1374.37
BK00101,06/15/2026,LC NEGOTIATION,,1141000,29286154,USD,1381.62
BK00102,06/15/2026,INTEREST,,1447000,31300668,USD,1392.2
BK00103,06/16/2026,IMPORT PAYMENT,994000,,29939554,USD,1369.33
BK00104,06/17/2026,LC NEGOTIATION,,87000,29939641,KRW,1.0
BK00105,06/18/2026,LC NEGOTIATION,,122000,30117087,EUR,1454.48
BK00106,06/18/2026,LC NEGOTIATION,,535000,30859721,USD,1388.1
BK00107,06/19/2026,TT REMITTANCE IN,,245000,31201875,USD,1396.55
BK00108,06/20/2026,PAYROLL,875000,,29992293,USD,1382.38
BK00109,06/21/2026,INTEREST,,172000,30229899,USD,1381.43
BK00110,06/21/2026,INTEREST,,1455000,32251258,USD,1389.25
BK00111,06/22/2026,IMPORT PAYMENT,462000,,31617842,USD,1371.03
BK00112,06/23/2026,TT REMITTANCE IN,,991000,31618833,KRW,1.0
BK00113,06/24/2026,EXPORT PROCEEDS,,1430000,33583610,USD,1373.97
BK00114,06/24/2026,IMPORT PAYMENT,1109000,,32067307,USD,1367.27
BK00115,06/25/2026,PAYROLL,966000,,30728712,USD,1385.71
BK00116,06/26/2026,TT REMITTANCE IN,,692000,31681672,USD,1377.11
BK00117,06/27/2026,BANK FEE,969000,,30345779,USD,1378.63
BK00118,06/27/2026,BANK FEE,386000,,29816813,USD,1370.38
BK00119,06/28/2026,INTEREST,,689000,30784444,USD,1404.4
BK00120,06/29/2026,EXPORT PROCEEDS,,622000,30785066,KRW,1.0
