전표번호,거래처명,품목명,공급가액,부가세,합계금액,발행일자,결제예정일,담당자,비고
IV260038,Houston Energy LLC,아연도금강판,"19,700,000","1,970,000","21,670,000",2026.04.05,2026.05.05,박통상,재발행
IV260039,Osaka Trading KK,냉연강판,"29,300,000","2,930,000","32,230,000",2026.05.04,2026.06.03,최무역,재발행
IV260040,Hamburg Stahl GmbH,몰드변압기,"52,300,000","5,230,000","57,530,000",2026.05.02,2026.06.16,박통상,  
IV260041,Al-Rashid Trading,옥수수,"71,300,000","7,130,000","78,430,000",2026.05.08,2026.06.22,,
IV260042,Hanoi AutoParts,냉연강판,"69,100,000","6,910,000","76,010,000",2026.04.28,2026.06.12,최무역,재발행
IV260043,Al-Rashid Trading,옥수수,"83,600,000","8,360,000","91,960,000",2026.05.08,2026.06.22,최무역,확인要
IV260044,Cairo Grid Co,몰드변압기,"18,900,000","1,890,000","20,790,000",2026.05.09,2026.06.08,김상무역,
IV260045,Lagos Agro Ltd,샤시모듈,"34,000,000","3,400,000","37,400,000",2026.06.14,2026.08.13,최무역,긴급
IV260046,Viet Thanh Steel,윤활기유,"65,800,000","6,580,000","72,380,000",2026.05.28,2026.07.12,,
IV260047,Gulf Petro Chem,개폐기,"45,300,000","4,530,000","49,830,000",2026.05.22,2026.07.06,최무역,긴급
IV260048,Cairo Grid Co,배전변압기,"27,200,000","2,720,000","29,920,000",2026.04.14,2026.06.13,최무역,
IV260049,Chennai Trans Co,인버터,"41,900,000","4,190,000","46,090,000",2026.05.02,2026.06.16,이수출,  
IV260050,Lagos Agro Ltd,차체부품,"32,100,000","3,210,000","35,310,000",2026.05.10,2026.06.24,김상무역,  
IV260051,Shanghai Bright Intl,밀,"23,700,000","2,370,000","26,070,000",2026.06.04,2026.08.03,박통상,긴급
IV260052,Gulf Petro Chem,대두,"36,300,000","3,630,000","39,930,000",2026.05.04,2026.06.03,박통상,긴급
IV260053,Mumbai Metal Corp,몰드변압기,"6,300,000","630,000","6,930,000",2026.05.05,2026.06.19,이수출,분할선적
IV260054,Shanghai Bright Intl,송유관,"63,700,000","6,370,000","70,070,000",2026.04.03,2026.06.02,이수출,재발행
IV260055, Viet Thanh Steel ,윤활기유,"43,100,000","4,310,000","47,410,000",2026.06.04,2026.08.03,,재발행
IV260056,Siam Power Ltd,몰드변압기,"11,200,000","1,120,000","12,320,000",2026.05.04,2026.07.03,,분할선적
IV260057,Hamburg Stahl GmbH,복합운송,"41,500,000","4,150,000","45,650,000",2026.04.12,2026.05.27,김상무역,
IV260058,Cairo Grid Co,냉연강판,"86,200,000","8,620,000","94,820,000",2026.06.06,2026.08.05,박통상,  
IV260059,Osaka Trading KK,배전변압기,"29,100,000","2,910,000","32,010,000",2026.04.02,2026.05.17,최무역,확인要
IV260060, Al-Rashid Trading ,PVC레진,"40,600,000","4,060,000","44,660,000",2026.05.25,2026.07.24,이수출,
IV260061,Mumbai Metal Corp,전장부품,"64,000,000","6,400,000","70,400,000",2026.04.05,2026.06.04,,
IV260062,Emirates Steel Est.,차체부품,"30,500,000","3,050,000","33,550,000",2026.05.12,2026.07.11,김상무역,분할선적
IV260063,Rotterdam AgriTrade,송유관,"55,500,000","5,550,000","61,050,000",2026.04.29,2026.05.29,,
IV260064,Osaka Trading KK,송유관,"8,300,000","830,000","9,130,000",2026.05.19,2026.07.18,,확인要
IV260065, Osaka Trading KK ,납사,"5,100,000","510,000","5,610,000",2026.05.10,2026.06.09,김상무역,긴급
IV260066,Houston Energy LLC,전장부품,"55,800,000","5,580,000","61,380,000",2026.04.22,2026.06.06,이수출,
IV260067,Rotterdam AgriTrade,전장부품,"74,500,000","7,450,000","81,950,000",2026.04.29,2026.05.29,최무역,확인要
IV260068,Nagoya Parts Co,복합운송,"46,300,000","4,630,000","50,930,000",2026.05.28,2026.07.27,최무역,분할선적
IV260069,Lagos Agro Ltd,배전변압기,"7,700,000","770,000","8,470,000",2026.06.03,2026.07.18,이수출,분할선적
IV260070,Osaka Trading KK,샤시모듈,"36,300,000","3,630,000","39,930,000",2026.05.17,2026.07.16,,
IV260071,Hamburg Stahl GmbH,냉연강판,"80,700,000","8,070,000","88,770,000",2026.04.17,2026.05.17,최무역,긴급
IV260072,Dallas Solar Inc,전장부품,"70,600,000","7,060,000","77,660,000",2026.05.14,2026.06.13,최무역,
IV260073,Dallas Solar Inc,인버터,"45,300,000","4,530,000","49,830,000",2026.05.23,2026.07.22,이수출,
IV260074,PT Nusantara Logam,태양광모듈,"68,100,000","6,810,000","74,910,000",2026.05.27,2026.07.11,박통상,
IV260075,Gulf Petro Chem,태양광모듈,"47,400,000","4,740,000","52,140,000",2026.04.01,2026.05.31,이수출,긴급
IV260076,Dallas Solar Inc,샤시모듈,"79,400,000","7,940,000","87,340,000",2026.06.08,2026.07.23,박통상,긴급
IV260077,PT Nusantara Logam,아연도금강판,"74,200,000","7,420,000","81,620,000",2026.05.29,2026.06.28,김상무역,
IV260078,Dallas Solar Inc,옥수수,"76,300,000","7,630,000","83,930,000",2026.05.17,2026.07.16,최무역,재발행
IV260079,Al-Rashid Trading,구조용강관,"59,100,000","5,910,000","65,010,000",2026.05.17,2026.07.01,박통상,
IV260080,Hamburg Stahl GmbH,옥수수,"21,600,000","2,160,000","23,760,000",2026.05.24,2026.06.23,,확인要
IV260081,Osaka Trading KK,윤활기유,"14,200,000","1,420,000","15,620,000",2026.04.10,2026.05.25,박통상,
IV260082,Shanghai Bright Intl,개폐기,"50,500,000","5,050,000","55,550,000",2026.04.13,2026.06.12,박통상,확인要
IV260083,PT Nusantara Logam,윤활기유,"87,400,000","8,740,000","96,140,000",2026.05.23,2026.07.07,박통상,
IV260084,PT Nusantara Logam,납사,"35,400,000","3,540,000","38,940,000",2026.04.07,2026.06.06,김상무역,긴급
IV260085,Hamburg Stahl GmbH,몰드변압기,"16,400,000","1,640,000","18,040,000",2026.06.11,2026.07.11,박통상,
IV260086,Nagoya Parts Co,아연도금강판,"72,500,000","7,250,000","79,750,000",2026.06.11,2026.07.26,박통상,
IV260087,Al-Rashid Trading,개폐기,"35,100,000","3,510,000","38,610,000",2026.05.16,2026.06.30,최무역,확인要
IV260088,Hamburg Stahl GmbH,ESS배터리,"63,900,000","6,390,000","70,290,000",2026.04.30,2026.06.29,최무역,
IV260089, Houston Energy LLC ,열연코일,"30,700,000","3,070,000","33,770,000",2026.06.03,2026.07.18,이수출,
IV260090,Gulf Petro Chem,밀,"12,800,000","1,280,000","14,080,000",2026.04.02,2026.05.17,,
IV260091,Rotterdam AgriTrade,송유관,"18,500,000","1,850,000","20,350,000",2026.04.30,2026.06.29,,
IV260092,Bangkok Grain House,밀,"49,300,000","4,930,000","54,230,000",2026.05.31,2026.06.30,최무역,분할선적
IV260093,Houston Energy LLC,납사,"50,100,000","5,010,000","55,110,000",2026.04.03,2026.06.02,최무역,
IV260094,Rotterdam AgriTrade,ESS배터리,"54,200,000","5,420,000","59,620,000",2026.04.13,2026.05.13,최무역,확인要
IV260095,Viet Thanh Steel,대두,"4,000,000","400,000","4,400,000",2026.05.31,2026.06.30,최무역,
IV260096,Osaka Trading KK,몰드변압기,"23,900,000","2,390,000","26,290,000",2026.04.21,2026.06.05,최무역,긴급
IV260097,Hanoi AutoParts,송유관,"33,600,000","3,360,000","36,960,000",2026.06.09,2026.07.24,,
IV260098,Mumbai Metal Corp,밀,"6,000,000","600,000","6,600,000",2026.04.16,2026.05.16,이수출,긴급
IV260099, Gulf Petro Chem ,PVC레진,"2,600,000","260,000","2,860,000",2026.05.05,2026.07.04,김상무역,재발행
IV260100,Houston Energy LLC,밀,"49,600,000","4,960,000","54,560,000",2026.04.23,2026.05.23,이수출,재발행
IV260101,Bangkok Grain House,몰드변압기,"15,300,000","1,530,000","16,830,000",2026.04.08,2026.05.23,,분할선적
IV260102,Lagos Agro Ltd,구조용강관,"37,400,000","3,740,000","41,140,000",2026.06.13,2026.08.12,,
IV260103,Al-Rashid Trading,밀,"86,400,000","8,640,000","95,040,000",2026.04.05,2026.05.05,최무역,
IV260104,Osaka Trading KK,인버터,"27,400,000","2,740,000","30,140,000",2026.04.26,2026.06.25,김상무역,
IV260105,Bangkok Grain House,차체부품,"47,600,000","4,760,000","52,360,000",2026.05.06,2026.06.20,이수출,
IV260106,Hanoi AutoParts,냉연강판,"70,400,000","7,040,000","77,440,000",2026.05.18,2026.07.17,김상무역,긴급
IV260107,Dallas Solar Inc,개폐기,"52,800,000","5,280,000","58,080,000",2026.04.02,2026.06.01,최무역,
IV260108,Shanghai Bright Intl,전장부품,"83,400,000","8,340,000","91,740,000",2026.04.12,2026.05.27,이수출,
IV260109,Mumbai Metal Corp,열연코일,"18,600,000","1,860,000","20,460,000",2026.04.26,2026.05.26,박통상,
IV260110,Viet Thanh Steel,윤활기유,"3,200,000","320,000","3,520,000",2026.05.04,2026.06.18,이수출,긴급
IV260111,Hanoi AutoParts,해상운송,"18,300,000","1,830,000","20,130,000",2026.04.15,2026.05.30,,  
IV260112,Al-Rashid Trading,냉연강판,"4,900,000","490,000","5,390,000",2026.04.19,2026.05.19,,
IV260113,Osaka Trading KK,태양광모듈,"49,200,000","4,920,000","54,120,000",2026.06.11,2026.07.26,이수출,
IV260114,Lagos Agro Ltd,송유관,"26,300,000","2,630,000","28,930,000",2026.05.31,2026.07.30,이수출,
IV260115,Lagos Agro Ltd,복합운송,"86,100,000","8,610,000","94,710,000",2026.04.21,2026.06.20,이수출,재발행
IV260116,Hanoi AutoParts,옥수수,"42,800,000","4,280,000","47,080,000",2026.05.02,2026.06.16,,
IV260117,Cairo Grid Co,개폐기,"14,600,000","1,460,000","16,060,000",2026.05.04,2026.07.03,최무역,재발행
IV260118, Emirates Steel Est. ,샤시모듈,"30,500,000","3,050,000","33,550,000",2026.04.13,2026.05.28,이수출,
IV260119, Qingdao Chem Group ,배전변압기,"68,600,000","6,860,000","75,460,000",2026.05.15,2026.07.14,김상무역,  
IV260120, Hanoi AutoParts ,인버터,"66,400,000","6,640,000","73,040,000",2026.04.04,2026.05.19,김상무역,  
IV260121,Qingdao Chem Group,윤활기유,"73,800,000","7,380,000","81,180,000",2026.04.24,2026.05.24,김상무역,재발행
IV260122,Al-Rashid Trading,대두,"53,100,000","5,310,000","58,410,000",2026.06.06,2026.08.05,김상무역,
IV260123,Shanghai Bright Intl,밀,"24,200,000","2,420,000","26,620,000",2026.04.26,2026.05.26,최무역,
IV260124,Mumbai Metal Corp,배전변압기,"12,300,000","1,230,000","13,530,000",2026.04.19,2026.06.18,박통상,  
IV260125,Lagos Agro Ltd,윤활기유,"42,300,000","4,230,000","46,530,000",2026.04.14,2026.05.29,최무역,재발행
IV260126,Al-Rashid Trading,해상운송,"73,300,000","7,330,000","80,630,000",2026.04.02,2026.06.01,,확인要
IV260127,Lagos Agro Ltd,납사,"48,900,000","4,890,000","53,790,000",2026.04.11,2026.06.10,김상무역,재발행
IV260128,Hanoi AutoParts,송유관,"50,400,000","5,040,000","55,440,000",2026.05.16,2026.06.15,최무역,
IV260129,Chennai Trans Co,밀,"45,000,000","4,500,000","49,500,000",2026.04.27,2026.06.26,,
IV260130,Nagoya Parts Co,열연코일,"75,700,000","7,570,000","83,270,000",2026.04.05,2026.05.20,이수출,긴급
IV260131, Osaka Trading KK ,샤시모듈,"87,700,000","8,770,000","96,470,000",2026.04.22,2026.05.22,박통상,분할선적
IV260132,Mumbai Metal Corp,송유관,"62,700,000","6,270,000","68,970,000",2026.05.01,2026.05.31,김상무역,
IV260133,Qingdao Chem Group,냉연강판,"17,000,000","1,700,000","18,700,000",2026.06.08,2026.08.07,,긴급
IV260134,Siam Power Ltd,샤시모듈,"74,900,000","7,490,000","82,390,000",2026.04.08,2026.05.23,이수출,분할선적
IV260135,Hamburg Stahl GmbH,송유관,"53,900,000","5,390,000","59,290,000",2026.04.16,2026.06.15,최무역,확인要
IV260136,Osaka Trading KK,송유관,"46,300,000","4,630,000","50,930,000",2026.04.13,2026.06.12,,확인要
IV260137,Viet Thanh Steel,인버터,"84,900,000","8,490,000","93,390,000",2026.05.03,2026.07.02,이수출,
IV260138,Gulf Petro Chem,PVC레진,"44,500,000","4,450,000","48,950,000",2026.04.16,2026.06.15,최무역,
IV260139,PT Nusantara Logam,샤시모듈,"26,300,000","2,630,000","28,930,000",2026.04.10,2026.06.09,,긴급
IV260140,Lagos Agro Ltd,송유관,"63,500,000","6,350,000","69,850,000",2026.06.03,2026.07.03,최무역,  
IV260141,Mumbai Metal Corp,배전변압기,"3,600,000","360,000","3,960,000",2026.05.23,2026.07.07,박통상,
IV260142,Osaka Trading KK,밀,"88,900,000","8,890,000","97,790,000",2026.06.07,2026.07.07,이수출,
IV260143,PT Nusantara Logam,냉연강판,"17,000,000","1,700,000","18,700,000",2026.05.19,2026.06.18,최무역,
IV260144, Siam Power Ltd ,옥수수,"33,400,000","3,340,000","36,740,000",2026.04.25,2026.06.24,이수출,재발행
IV260145,Bangkok Grain House,ESS배터리,"55,800,000","5,580,000","61,380,000",2026.06.14,2026.08.13,김상무역,
IV260146,Siam Power Ltd,전장부품,"36,600,000","3,660,000","40,260,000",2026.05.16,2026.06.15,박통상,재발행
IV260147,Nagoya Parts Co,윤활기유,"20,500,000","2,050,000","22,550,000",2026.05.07,2026.06.06,최무역,
IV260148,Dallas Solar Inc,냉연강판,"36,400,000","3,640,000","40,040,000",2026.05.22,2026.06.21,이수출,
IV260149,Siam Power Ltd,윤활기유,"39,900,000","3,990,000","43,890,000",2026.04.27,2026.06.26,이수출,
IV260007,Emirates Steel Est.,차체부품,"24,700,000","2,470,000","27,170,000",2026.04.13,2026.05.28,박통상,
IV260033,PT Nusantara Logam,샤시모듈,"57,900,000","5,790,000","63,690,000",2026.05.02,2026.07.01,이수출,
