거래ID,거래처코드,거래처명,신용점수,국가리스크등급,거래금액_USD,결제조건일수,과거연체횟수,누적거래횟수,업력_년,담보여부,수출보험여부,연체여부
TX000025,P097,Marina Chemicals,819,2,223600.0,90,1,35,18.7,1,0,0
TX000026,P066,Orient Energy,632,3,45100.0,0,3,54,5.9,0,1,1
TX000027,P068,Cobalt Trading,701,4,199700.0,60,0,21,0.5,0,1,0
TX000028,P118,Pacific Chemicals,785,1,259200.0,30,1,44,26.6,1,1,0
TX000029,P061,Harbor Metals,653,2,33500.0,90,1,58,14.7,0,1,1
TX000030,P031,Vega Power,757,2,303900.0,90,0,38,16.8,0,0,0
TX000031,P110,Meridian Energy,815,1,416000.0,30,0,50,23.4,1,1,0
TX000032,P014,Orient Global,812,1,479700.0,30,0,44,18.2,0,1,0
TX000033,P016,Aurora Energy,804,1,241600.0,30,0,45,27.1,0,1,0
TX000034,P066,Orient Energy,616,3,59200.0,60,2,54,6.0,0,1,0
TX000035,P110,Meridian Energy,815,1,298500.0,90,0,50,22.5,0,0,0
TX000036,P088,Falcon Trading,619,3,41500.0,60,1,43,13.0,0,1,0
TX000037,P072,Meridian Logistics,659,3,21700.0,30,0,51,8.9,0,0,0
TX000038,P045,Meridian Materials,683,4,65600.0,60,1,51,10.6,1,1,0
TX000039,P031,Vega Power,787,2,368700.0,0,0,38,17.8,0,1,0
TX000040,P106,Prime Industries,708,2,111600.0,90,2,20,7.6,0,0,0
TX000041,P093,Union Global,838,2,407900.0,0,1,52,20.8,0,0,0
TX000042,P027,Summit Power,724,3,85700.0,60,0,21,3.6,0,0,0
TX000043,P018,Marina Global,621,3,52200.0,0,1,58,15.2,0,1,0
TX000044,P078,Pacific Materials,824,1,207400.0,60,2,37,23.1,0,0,0
TX000045,P066,Orient Energy,627,3,31400.0,60,1,54,5.6,0,1,0
TX000046,P098,Marina Agro,641,3,38200.0,60,3,57,17.3,0,1,0
TX000047,P015,Crest Materials,768,1,301300.0,30,0,34,24.3,1,1,0
TX000048,P048,Orient Metals,631,2,49300.0,0,1,45,12.2,0,0,0
TX000049,P113,Meridian Agro,606,3,62700.0,90,1,52,8.6,1,1,0
TX000050,P081,Vega Industries,490,4,87800.0,30,3,6,5.4,0,1,1
TX000051,P114,Corona Logistics,734,1,522700.0,0,0,52,19.3,0,0,0
TX000052,P005,Zenith Trading,607,3,23000.0,0,2,56,17.2,1,0,0
TX000053,P090,Falcon Agro,832,2,465500.0,30,0,36,21.1,0,0,0
TX000054,P028,Pacific Global,630,2,91600.0,30,2,51,14.4,0,1,0
TX000055,P076,Nordic Materials,628,3,49500.0,90,1,58,11.8,0,1,0
TX000056,P022,Sierra Metals,839,2,203800.0,90,1,46,22.5,0,0,0
TX000057,P120,Orient Chemicals,662,2,87900.0,30,1,50,12.5,0,0,0
TX000058,P106,Prime Industries,719,2,165400.0,30,2,20,9.2,0,1,0
TX000059,P055,Delta Energy,692,3,27300.0,30,3,53,10.0,0,0,1
TX000060,P092,Falcon Metals,675,2,28600.0,30,2,47,15.3,0,1,0
TX000061,P116,Aurora Materials,628,3,38600.0,30,2,55,10.0,0,0,0
TX000062,P045,Meridian Materials,681,4,61900.0,30,1,51,9.7,0,0,0
TX000063,P027,Summit Power,705,3,60300.0,60,0,21,3.3,0,1,0
TX000064,P068,Cobalt Trading,673,4,256100.0,30,0,21,0.6,0,1,0
TX000065,P033,Delta Industries,677,2,156400.0,60,0,24,6.6,0,1,0
TX000066,P048,Orient Metals,630,2,69500.0,30,1,45,11.8,0,0,0
TX000067,P034,Union Trading,750,2,252700.0,30,1,54,18.3,1,0,0
TX000068,P097,Marina Chemicals,796,2,214200.0,0,1,35,19.2,1,1,0
TX000069,P048,Orient Metals,604,2,47300.0,60,1,45,12.6,0,1,1
TX000070,P022,Sierra Metals,859,2,264800.0,60,1,46,21.9,0,1,0
TX000071,P051,Union Energy,719,3,114100.0,30,0,51,12.1,1,0,0
TX000072,P120,Orient Chemicals,622,2,55400.0,60,0,50,13.2,0,1,0
TX000073,P022,Sierra Metals,840,2,288200.0,0,3,46,21.2,0,0,0
TX000074,P110,Meridian Energy,809,1,349000.0,60,1,50,23.1,0,0,0
TX000075,P059,Falcon Materials,702,2,114600.0,60,2,21,9.6,0,1,0
TX000076,P062,Aurora Industries,685,3,105300.0,30,1,33,8.0,1,1,0
TX000077,P028,Pacific Global,632,2,74800.0,0,2,51,14.1,0,1,0
TX000078,P024,Zenith Energy,694,3,191000.0,60,0,16,8.0,0,0,1
TX000079,P071,Golden Metals,787,1,263700.0,60,0,47,27.0,0,1,0
TX000080,P097,Marina Chemicals,802,2,362200.0,60,1,35,19.6,1,1,0
TX000081,P048,Orient Metals,622,2,66600.0,30,1,45,11.8,0,0,1
TX000082,P035,Sierra Materials,662,3,35600.0,30,1,66,9.5,1,1,0
TX000083,P041,Falcon Industries,631,3,99200.0,30,1,63,5.7,0,0,1
TX000084,P036,Prime Trading,773,1,138200.0,30,1,40,23.4,0,0,0
TX000085,P096,Prime Materials,775,2,743800.0,90,0,50,23.1,0,0,0
TX000086,P048,Orient Metals,629,2,40400.0,60,2,45,11.9,0,0,0
TX000087,P051,Union Energy,694,3,40200.0,60,0,51,11.8,0,0,0
TX000088,P083,Crest Agro,691,3,186500.0,30,0,19,7.9,1,0,0
TX000089,P045,Meridian Materials,676,4,84000.0,0,1,51,10.1,0,0,1
TX000090,P069,Sierra Global,678,2,155700.0,0,1,31,3.8,1,0,0
TX000091,P076,Nordic Materials,624,3,43900.0,60,0,58,10.9,0,0,0
TX000092,P113,Meridian Agro,604,3,63500.0,30,2,52,8.7,1,1,0
TX000093,P077,Corona Energy,806,2,516000.0,0,0,37,18.3,1,1,0
TX000094,P076,Nordic Materials,648,3,56600.0,30,1,58,12.8,0,1,0
TX000095,P033,Delta Industries,667,2,59800.0,30,0,24,6.1,0,0,0
TX000096,P120,Orient Chemicals,641,2,55700.0,90,0,50,12.9,0,0,0
TX000097,P082,Union Materials,633,3,115200.0,30,1,14,11.8,0,0,0
TX000098,P072,Meridian Logistics,658,3,50300.0,90,2,51,8.0,1,0,1
TX000099,P041,Falcon Industries,642,3,55700.0,30,2,63,7.4,0,1,0
TX000100,P072,Meridian Logistics,629,3,54300.0,0,0,51,7.9,0,1,0
TX000101,P045,Meridian Materials,693,4,45400.0,0,1,51,9.9,1,1,0
TX000102,P066,Orient Energy,602,3,47000.0,0,1,54,6.2,0,0,1
TX000103,P054,Golden Global,647,3,63900.0,60,2,58,16.1,0,0,1
TX000104,P102,Falcon Power,783,1,299200.0,30,0,49,22.2,0,1,0
TX000105,P027,Summit Power,740,3,139600.0,30,1,21,2.7,0,1,0
TX000106,P046,Vega Agro,632,4,27600.0,90,0,56,10.4,0,1,0
TX000107,P086,Sierra Energy,438,4,71400.0,0,4,5,14.8,1,1,1
TX000108,P014,Orient Global,818,1,356900.0,0,0,44,18.7,1,0,0
TX000109,P093,Union Global,836,2,503100.0,60,2,52,19.1,0,0,0
TX000110,P022,Sierra Metals,859,2,248600.0,30,1,46,21.6,0,0,0
TX000111,P076,Nordic Materials,622,3,32000.0,0,1,58,11.8,0,1,0
TX000112,P094,Union Chemicals,783,1,656700.0,90,0,48,16.5,0,1,0
TX000113,P107,Prime Metals,796,2,285900.0,30,1,47,23.3,0,0,0
TX000114,P022,Sierra Metals,837,2,247500.0,60,2,46,21.2,0,0,0
TX000115,P110,Meridian Energy,830,1,433300.0,30,0,50,23.1,1,1,0
TX000116,P061,Harbor Metals,646,2,32800.0,0,1,58,14.6,1,0,0
TX000117,P101,Aurora Agro,707,3,118000.0,0,1,12,6.9,1,0,0
TX000118,P116,Aurora Materials,649,3,57500.0,60,3,55,8.9,0,1,1
TX000119,P079,Golden Agro,659,2,45500.0,60,0,54,13.6,1,0,0
TX000120,P078,Pacific Materials,819,1,275700.0,30,0,37,22.6,0,0,0
TX000121,P095,Meridian Trading,792,2,304800.0,30,0,44,20.5,1,1,0
TX000122,P106,Prime Industries,731,2,69100.0,30,3,20,6.6,0,1,0
TX000123,P036,Prime Trading,763,1,299900.0,30,0,40,23.5,0,0,0
TX000124,P070,Crest Metals,833,1,560900.0,0,0,45,24.0,0,0,0
TX000125,P075,Marina Industries,591,3,23400.0,60,2,49,11.6,1,0,1
TX000126,P059,Falcon Materials,679,2,176000.0,30,2,21,8.7,0,0,1
TX000127,P051,Union Energy,687,3,57200.0,0,0,51,10.7,1,1,0
TX000128,P113,Meridian Agro,615,3,40300.0,30,1,52,8.0,0,0,0
TX000129,P055,Delta Energy,681,3,33700.0,60,3,53,11.2,0,1,1
TX000130,P073,Vega Metals,719,2,248400.0,90,1,23,10.6,0,1,0
TX000131,P018,Marina Global,647,3,47300.0,60,1,58,15.5,0,1,0
TX000132,P071,Golden Metals,799,1,232300.0,60,0,47,26.7,0,1,0
TX000133,P034,Union Trading,733,2,235500.0,30,1,54,17.9,0,0,1
TX000134,P084,Meridian Metals,768,1,230700.0,30,0,45,23.5,0,0,0
TX000135,P027,Summit Power,697,3,85400.0,30,1,21,3.8,0,1,0
TX000136,P026,Summit Materials,711,3,138000.0,60,0,31,8.4,0,1,0
TX000137,P102,Falcon Power,778,1,368900.0,30,0,49,22.9,0,0,0
TX000138,P041,Falcon Industries,655,3,38400.0,60,1,63,6.9,0,0,0
TX000139,P117,Falcon Energy,680,2,70400.0,60,1,50,8.2,1,1,0
TX000140,P117,Falcon Energy,670,2,59300.0,0,3,50,7.6,1,0,0
TX000141,P002,Corona Agro,687,3,310400.0,0,1,25,4.3,1,0,0
TX000142,P043,Atlas Chemicals,814,2,622400.0,30,0,46,22.2,0,0,0
TX000143,P083,Crest Agro,708,3,200200.0,60,0,19,7.4,0,1,1
TX000144,P076,Nordic Materials,630,3,46800.0,60,0,58,12.4,0,1,0
TX000145,P114,Corona Logistics,739,1,389900.0,0,0,52,19.1,0,1,0
TX000146,P010,Delta Chemicals,672,3,54200.0,30,1,51,11.2,1,0,0
TX000147,P005,Zenith Trading,618,3,32300.0,90,1,56,17.6,0,0,1
TX000148,P113,Meridian Agro,639,3,26000.0,90,2,52,8.3,1,0,1
TX000149,P002,Corona Agro,689,3,130400.0,0,1,25,2.8,1,1,0
TX000150,P069,Sierra Global,655,2,143300.0,30,2,31,4.1,0,1,0
TX000151,P072,Meridian Logistics,653,3,95700.0,60,0,51,8.6,0,0,0
TX000152,P009,Falcon Global,621,3,34400.0,60,1,51,8.6,0,1,1
TX000153,P002,Corona Agro,689,3,216300.0,30,1,25,2.9,0,1,1
TX000154,P118,Pacific Chemicals,771,1,182200.0,30,1,44,27.1,0,0,0
TX000155,P069,Sierra Global,667,2,146500.0,0,1,31,4.0,1,0,1
TX000156,P032,Cobalt Logistics,706,3,101600.0,60,0,23,4.3,1,0,0
TX000157,P075,Marina Industries,608,3,48300.0,30,1,49,12.9,1,1,0
TX000158,P069,Sierra Global,671,2,108900.0,30,1,31,3.4,0,1,0
TX000159,P067,Vega Materials,778,2,530300.0,30,0,51,21.4,0,1,0
TX000160,P102,Falcon Power,785,1,224500.0,30,2,49,23.4,0,0,0
TX000161,P088,Falcon Trading,616,3,27100.0,60,2,43,12.9,0,0,1
TX000162,P113,Meridian Agro,604,3,37300.0,30,1,52,8.7,0,0,0
TX000163,P021,Harbor Power,656,3,137900.0,30,1,15,12.6,1,1,0
TX000164,P056,Union Agro,712,2,60200.0,90,1,22,7.9,1,0,0
TX000165,P035,Sierra Materials,669,3,52500.0,30,1,66,9.1,0,1,1
TX000166,P015,Crest Materials,766,1,221200.0,60,0,34,24.4,1,0,0
TX000167,P035,Sierra Materials,678,3,32100.0,60,1,66,9.3,0,1,0
TX000168,P066,Orient Energy,627,3,55500.0,30,1,54,5.4,0,0,0
TX000169,P041,Falcon Industries,635,3,57600.0,30,1,63,6.6,1,1,0
TX000170,P022,Sierra Metals,868,2,295200.0,30,1,46,21.9,0,0,0
TX000171,P112,Orient Materials,826,1,162800.0,0,0,45,24.4,0,1,0
TX000172,P079,Golden Agro,681,2,26100.0,30,0,54,13.7,0,0,0
TX000173,P065,Crest Global,687,2,89900.0,30,1,15,13.6,0,1,0
TX000174,P100,Nordic Agro,696,3,173500.0,0,1,14,11.3,0,1,0
TX000175,P089,Golden Power,795,1,447000.0,60,0,45,24.8,0,1,0
TX000176,P048,Orient Metals,632,2,43900.0,30,1,45,11.7,0,0,0
TX000177,P100,Nordic Agro,675,3,85300.0,60,0,14,12.3,1,1,0
TX000178,P067,Vega Materials,796,2,447200.0,30,1,51,21.9,1,0,0
TX000179,P027,Summit Power,704,3,85700.0,60,0,21,2.3,0,0,0
TX000180,P073,Vega Metals,727,2,158100.0,30,1,23,11.0,0,1,0
TX000181,P082,Union Materials,681,3,121600.0,0,1,14,12.6,0,0,1
TX000182,P076,Nordic Materials,635,3,88800.0,60,0,58,11.8,0,0,0
TX000183,P120,Orient Chemicals,666,2,87400.0,30,0,50,13.1,0,0,0
TX000184,P020,Corona Materials,674,3,50000.0,60,0,40,15.6,0,1,0
TX000185,P010,Delta Chemicals,690,3,74400.0,30,0,51,10.1,0,1,0
TX000186,P052,Vega Energy,461,5,67900.0,90,2,2,6.0,0,0,1
TX000187,P116,Aurora Materials,652,3,38800.0,30,2,55,10.8,0,1,1
TX000188,P018,Marina Global,628,3,35800.0,0,1,58,15.4,0,1,0
TX000189,P091,Nordic Trading,844,2,1047600.0,0,0,45,20.3,0,1,0
TX000190,P031,Vega Power,789,2,460500.0,0,0,38,17.1,0,0,1
TX000191,P117,Falcon Energy,673,2,64200.0,60,1,50,8.1,0,0,0
TX000192,P012,Prime Power,629,2,75700.0,90,1,60,4.5,1,1,0
TX000193,P014,Orient Global,819,1,667100.0,60,0,44,18.3,0,0,0
TX000194,P116,Aurora Materials,656,3,48600.0,60,2,55,10.3,0,1,0
TX000195,P061,Harbor Metals,658,2,56300.0,0,2,58,15.3,1,0,0
TX000196,P055,Delta Energy,666,3,31900.0,60,2,53,11.1,0,0,1
TX000197,P096,Prime Materials,796,2,556900.0,30,0,50,23.5,1,1,0
TX000198,P084,Meridian Metals,774,1,331900.0,0,0,45,23.1,1,1,0
TX000199,P006,Harbor Agro,702,3,154300.0,60,0,28,4.4,1,0,0
TX000200,P016,Aurora Energy,821,1,335700.0,60,1,45,27.1,0,0,0
TX000201,P001,Delta Power,710,2,92900.0,0,0,19,3.2,0,0,0
TX000202,P024,Zenith Energy,702,3,156100.0,60,0,16,7.6,1,0,1
TX000203,P031,Vega Power,780,2,302500.0,0,0,38,16.7,0,1,0
TX000204,P079,Golden Agro,675,2,65000.0,30,0,54,12.8,0,0,0
TX000205,P120,Orient Chemicals,655,2,86500.0,90,0,50,13.1,1,0,0
TX000206,P013,Orient Logistics,739,2,255100.0,30,1,37,18.1,0,0,0
TX000207,P070,Crest Metals,844,1,757700.0,60,0,45,23.8,0,1,0
TX000208,P034,Union Trading,746,2,303500.0,90,0,54,17.7,0,0,0
TX000209,P102,Falcon Power,766,1,357600.0,30,0,49,22.3,1,1,0
TX000210,P108,Orient Power,709,3,22700.0,30,0,41,11.6,1,0,0
TX000211,P073,Vega Metals,719,2,214600.0,30,1,23,9.8,1,1,0
TX000212,P098,Marina Agro,657,3,38600.0,60,2,57,17.7,1,1,0
TX000213,P062,Aurora Industries,670,3,112400.0,30,1,33,8.4,1,1,0
TX000214,P035,Sierra Materials,643,3,48100.0,0,2,66,9.8,0,0,0
TX000215,P084,Meridian Metals,757,1,336800.0,30,0,45,23.0,0,1,0
TX000216,P071,Golden Metals,820,1,256000.0,30,0,47,27.4,1,0,0
TX000217,P087,Corona Metals,686,2,139100.0,0,1,19,12.9,0,0,0
TX000218,P015,Crest Materials,767,1,400400.0,0,1,34,23.4,1,1,0
TX000219,P055,Delta Energy,677,3,28500.0,60,2,53,10.0,0,0,1
TX000220,P016,Aurora Energy,814,1,446400.0,60,1,45,26.1,0,0,0
TX000221,P083,Crest Agro,692,3,196400.0,30,0,19,8.3,0,1,0
TX000222,P016,Aurora Energy,792,1,152200.0,30,1,45,27.5,1,1,0
TX000223,P117,Falcon Energy,689,2,46100.0,60,2,50,7.7,0,1,0
TX000224,P018,Marina Global,616,3,37900.0,60,1,58,15.6,0,0,0
TX000225,P041,Falcon Industries,629,3,24200.0,30,1,63,7.2,1,1,0
TX000226,P045,Meridian Materials,677,4,58800.0,60,1,51,9.0,0,0,0
TX000227,P083,Crest Agro,705,3,155300.0,0,0,19,7.1,0,0,0
TX000228,P102,Falcon Power,774,1,554200.0,60,0,49,23.4,1,1,0
TX000229,P009,Falcon Global,639,3,29400.0,60,1,51,9.0,1,0,0
TX000230,P085,Pacific Agro,683,3,49400.0,30,1,55,16.0,0,1,0
TX000231,P045,Meridian Materials,682,4,73600.0,90,1,51,10.8,0,1,0
TX000232,P034,Union Trading,737,2,254800.0,0,0,54,18.2,0,0,0
TX000233,P026,Summit Materials,754,3,101800.0,90,0,31,9.7,0,1,0
TX000234,P120,Orient Chemicals,623,2,38700.0,60,1,50,13.8,1,0,0
TX000235,P075,Marina Industries,614,3,63500.0,60,2,49,12.6,1,0,0
TX000236,P088,Falcon Trading,641,3,55500.0,90,1,43,13.0,0,0,0
TX000237,P031,Vega Power,760,2,370800.0,30,1,38,17.9,0,1,0
TX000238,P082,Union Materials,681,3,144000.0,60,1,14,12.0,1,1,0
TX000239,P092,Falcon Metals,701,2,34600.0,0,2,47,16.1,0,1,0
TX000240,P038,Marina Logistics,514,5,67100.0,90,2,14,4.6,0,1,1
TX000241,P093,Union Global,821,2,459700.0,60,1,52,20.8,0,0,0
TX000242,P071,Golden Metals,791,1,282300.0,30,1,47,26.8,1,0,0
TX000243,P061,Harbor Metals,654,2,47800.0,30,1,58,15.2,0,1,0
TX000244,P104,Summit Energy,827,2,337800.0,60,1,41,21.8,0,1,0
TX000245,P011,Corona Industries,665,3,193400.0,60,1,20,11.0,0,0,0
TX000246,P107,Prime Metals,800,2,388600.0,90,1,47,22.8,1,1,0
TX000247,P072,Meridian Logistics,660,3,38400.0,60,0,51,7.8,0,0,0
TX000248,P076,Nordic Materials,619,3,34100.0,30,0,58,12.6,0,1,0
TX000249,P089,Golden Power,834,1,263800.0,0,0,45,24.4,0,0,0
TX000250,P002,Corona Agro,691,3,245300.0,0,1,25,3.6,0,1,0
TX000251,P085,Pacific Agro,696,3,37900.0,0,1,55,16.2,1,0,0
TX000252,P082,Union Materials,671,3,110500.0,30,2,14,11.9,0,0,0
TX000253,P002,Corona Agro,681,3,110700.0,60,1,25,3.0,1,1,0
TX000254,P026,Summit Materials,712,3,129900.0,60,0,31,8.3,1,1,0
TX000255,P075,Marina Industries,600,3,39900.0,30,2,49,12.1,0,1,1
TX000256,P044,Summit Agro,705,2,250200.0,30,0,23,8.3,0,0,0
TX000257,P001,Delta Power,694,2,94500.0,60,1,19,2.1,0,1,1
TX000258,P043,Atlas Chemicals,821,2,513100.0,60,0,46,21.1,1,1,0
TX000259,P107,Prime Metals,794,2,149600.0,60,0,47,22.9,0,0,0
TX000260,P006,Harbor Agro,692,3,58300.0,30,1,28,4.7,0,0,0
TX000261,P032,Cobalt Logistics,704,3,117600.0,30,0,23,3.9,0,1,0
TX000262,P101,Aurora Agro,684,3,182600.0,90,1,12,7.1,1,0,0
TX000263,P003,Delta Materials,827,1,378000.0,30,2,41,20.0,1,0,0
TX000264,P072,Meridian Logistics,643,3,32300.0,60,0,51,8.6,0,1,0
TX000265,P104,Summit Energy,840,2,410400.0,0,1,41,22.4,0,1,0
TX000266,P002,Corona Agro,665,3,157200.0,90,1,25,3.5,0,0,0
TX000267,P046,Vega Agro,646,4,55200.0,60,0,56,9.3,0,1,0
TX000268,P028,Pacific Global,643,2,88700.0,0,1,51,14.3,0,0,0
TX000269,P092,Falcon Metals,675,2,42900.0,60,1,47,14.6,1,1,0
TX000270,P072,Meridian Logistics,632,3,39500.0,0,0,51,8.3,0,0,0
TX000271,P038,Marina Logistics,513,5,60700.0,60,1,14,4.4,1,1,0
TX000272,P035,Sierra Materials,667,3,41800.0,60,2,66,9.5,0,1,0
TX000273,P077,Corona Energy,814,2,472200.0,60,1,37,18.1,0,0,0
TX000274,P035,Sierra Materials,658,3,46600.0,0,1,66,10.0,0,1,0
TX000275,P007,Cairo Grid Co,520,4,138300.0,0,4,19,2.5,0,1,1
TX000276,P022,Sierra Metals,840,2,241900.0,0,1,46,21.8,1,0,0
TX000277,P104,Summit Energy,842,2,317300.0,60,1,41,21.9,1,0,0
TX000278,P018,Marina Global,642,3,54700.0,90,2,58,15.8,0,0,0
TX000279,P066,Orient Energy,616,3,37300.0,30,2,54,5.3,0,0,0
TX000280,P076,Nordic Materials,633,3,58000.0,0,1,58,12.6,0,1,0
TX000281,P066,Orient Energy,620,3,43500.0,30,2,54,5.5,1,1,0
TX000282,P020,Corona Materials,689,3,63800.0,30,0,40,15.2,1,1,0
TX000283,P115,Vega Trading,687,2,114600.0,30,0,20,7.5,0,0,0
TX000284,P045,Meridian Materials,677,4,50600.0,90,1,51,11.1,1,1,0
TX000285,P102,Falcon Power,773,1,369400.0,30,1,49,23.1,0,1,0
TX000286,P043,Atlas Chemicals,802,2,522000.0,60,1,46,21.5,0,1,0
TX000287,P112,Orient Materials,795,1,259100.0,0,0,45,23.0,1,1,0
TX000288,P012,Prime Power,640,2,42600.0,90,0,60,4.4,0,1,0
TX000289,P104,Summit Energy,826,2,447000.0,60,1,41,23.0,1,0,0
TX000290,P036,Prime Trading,748,1,298000.0,30,0,40,23.5,0,1,0
TX000291,P061,Harbor Metals,665,2,56400.0,30,1,58,15.1,0,1,0
TX000292,P091,Nordic Trading,851,2,363800.0,60,0,45,19.8,0,0,0
TX000293,P003,Delta Materials,850,1,333800.0,30,1,41,20.9,1,0,0
TX000294,P115,Vega Trading,692,2,110400.0,60,0,20,7.1,0,1,0
TX000295,P071,Golden Metals,801,1,432400.0,30,1,47,26.7,0,1,0
TX000296,P007,Cairo Grid Co,515,4,136800.0,60,3,19,1.0,1,0,1
TX000297,P064,Zenith Chemicals,674,4,33000.0,90,1,44,7.9,0,1,0
TX000298,P100,Nordic Agro,695,3,132000.0,90,1,14,11.6,0,0,0
TX000299,P059,Falcon Materials,702,2,174900.0,60,2,21,9.8,0,0,0
TX000300,P034,Union Trading,772,2,536900.0,0,1,54,17.9,0,1,0
TX000301,P118,Pacific Chemicals,781,1,130200.0,30,0,44,25.8,0,1,0
TX000302,P118,Pacific Chemicals,780,1,299200.0,60,0,44,26.5,1,0,0
TX000303,P036,Prime Trading,758,1,165500.0,30,2,40,23.3,0,0,0
TX000304,P109,Delta Trading,817,1,310000.0,30,1,40,23.0,0,1,0
TX000305,P120,Orient Chemicals,648,2,66200.0,30,0,50,12.6,0,0,0
TX000306,P114,Corona Logistics,758,1,961600.0,60,2,52,18.8,0,0,0
TX000307,P096,Prime Materials,780,2,660200.0,0,1,50,24.0,0,1,0
TX000308,P070,Crest Metals,840,1,867800.0,90,0,45,22.9,0,1,0
TX000309,P117,Falcon Energy,676,2,85400.0,60,1,50,6.8,0,0,0
TX000310,P034,Union Trading,740,2,345200.0,60,0,54,19.1,1,0,0
TX000311,P018,Marina Global,660,3,32200.0,90,1,58,14.9,0,0,0
TX000312,P023,Sierra Trading,492,4,156400.0,30,2,19,4.1,0,1,1
TX000313,P090,Falcon Agro,829,2,284500.0,0,0,36,21.4,0,0,0
TX000314,P016,Aurora Energy,811,1,249700.0,30,1,45,26.9,0,0,0
TX000315,P077,Corona Energy,796,2,735100.0,90,0,37,18.3,1,1,0
TX000316,P112,Orient Materials,805,1,243200.0,30,0,45,23.5,0,1,0
TX000317,P036,Prime Trading,753,1,204900.0,30,0,40,23.4,0,0,0
TX000318,P107,Prime Metals,799,2,238500.0,30,2,47,23.4,0,0,0
TX000319,P070,Crest Metals,823,1,958500.0,30,1,45,23.6,1,0,0
TX000320,P107,Prime Metals,813,2,156100.0,60,1,47,22.0,0,0,0
TX000321,P095,Meridian Trading,808,2,383300.0,90,0,44,20.4,1,1,0
TX000322,P098,Marina Agro,684,3,40600.0,60,1,57,16.7,0,1,1
TX000323,P056,Union Agro,713,2,176100.0,60,0,22,8.4,0,0,0
TX000324,P031,Vega Power,744,2,476300.0,60,0,38,16.6,1,1,0
TX000325,P046,Vega Agro,630,4,26200.0,30,1,56,11.0,0,1,0
TX000326,P066,Orient Energy,617,3,62300.0,0,2,54,5.4,0,1,0
TX000327,P105,Prime Logistics,516,4,68600.0,30,3,12,3.4,1,0,0
TX000328,P065,Crest Global,664,2,210200.0,90,1,15,13.4,0,1,0
TX000329,P117,Falcon Energy,702,2,56700.0,90,1,50,7.8,0,0,0
TX000330,P091,Nordic Trading,830,2,323900.0,90,0,45,18.8,0,0,0
TX000331,P095,Meridian Trading,824,2,314000.0,60,0,44,21.0,1,0,0
TX000332,P094,Union Chemicals,780,1,666600.0,90,0,48,17.0,0,0,0
TX000333,P107,Prime Metals,809,2,209700.0,30,0,47,23.1,0,1,0
TX000334,P076,Nordic Materials,633,3,68500.0,60,0,58,12.3,0,1,0
TX000335,P022,Sierra Metals,868,2,193500.0,30,1,46,21.4,0,0,0
TX000336,P016,Aurora Energy,806,1,216300.0,60,0,45,26.1,1,1,0
TX000337,P066,Orient Energy,615,3,28000.0,0,2,54,5.7,0,0,0
TX000338,P047,Pacific Metals,671,3,150300.0,30,1,11,6.4,0,1,0
TX000339,P010,Delta Chemicals,671,3,56800.0,0,0,51,11.3,1,0,0
TX000340,P072,Meridian Logistics,654,3,108200.0,30,0,51,8.2,1,1,0
TX000341,P073,Vega Metals,699,2,142900.0,30,1,23,10.4,1,1,0
