사업부,월,예산매출,실적매출,차이,달성률,예산영업이익,실적영업이익,담당
화학에너지,2025-11,75228,74278,-950,98.7,4274,3825,화학에너지기획팀
화학에너지,2025-12,70710,72933,2223,103.1,4601,4803,화학에너지기획팀
화학에너지,2026-01,77427,75666,-1761,97.7,4100,4913,화학에너지기획팀
화학에너지,2026-02,73405,74466,1061,101.4,3910,4311,화학에너지기획팀
화학에너지,2026-03,72791,74779,1988,102.7,4946,4972,화학에너지기획팀
화학에너지,2026-04,75090,72789,-2301,96.9,4969,5054,화학에너지기획팀
화학에너지,2026-05,76687,72163,-4524,94.1,4135,4048,화학에너지기획팀
화학에너지,2026-06,76587,75943,-644,99.2,4287,4838,화학에너지기획팀
전력플랜트,2024-07,41533,45759,4226,110.2,3974,4454,전력플랜트기획팀
전력플랜트,2024-08,45465,46065,600,101.3,4765,4577,전력플랜트기획팀
전력플랜트,2024-09,47639,47580,-59,99.9,4113,4361,전력플랜트기획팀
전력플랜트,2024-10,45254,47508,2254,105.0,4447,5240,전력플랜트기획팀
전력플랜트,2024-11,45704,48176,2472,105.4,4754,4780,전력플랜트기획팀
전력플랜트,2024-12,47399,51369,3970,108.4,4249,4907,전력플랜트기획팀
전력플랜트,2025-01,46686,50643,3957,108.5,5352,5259,전력플랜트기획팀
전력플랜트,2025-02,51378,51805,427,100.8,5077,5190,전력플랜트기획팀
전력플랜트,2025-03,51649,55214,3565,106.9,4712,5409,전력플랜트기획팀
전력플랜트,2025-04,53059,55201,2142,104.0,5919,5651,전력플랜트기획팀
전력플랜트,2025-05,52604,56067,3463,106.6,5341,5680,전력플랜트기획팀
전력플랜트,2025-06,50570,54953,4383,108.7,5220,5234,전력플랜트기획팀
전력플랜트,2025-07,54996,58597,3601,106.5,5752,5750,전력플랜트기획팀
전력플랜트,2025-08,58778,60789,2011,103.4,6548,7093,전력플랜트기획팀
전력플랜트,2025-09,55528,63476,7948,114.3,6333,6086,전력플랜트기획팀
전력플랜트,2025-10,58395,60679,2284,103.9,5603,5755,전력플랜트기획팀
전력플랜트,2025-11,58233,62776,4543,107.8,6577,6845,전력플랜트기획팀
전력플랜트,2025-12,59456,65644,6188,110.4,7639,7183,전력플랜트기획팀
전력플랜트,2026-01,61156,66120,4964,108.1,6632,6478,전력플랜트기획팀
전력플랜트,2026-02,61150,69649,8499,113.9,6358,7183,전력플랜트기획팀
전력플랜트,2026-03,66044,70654,4610,107.0,6254,6807,전력플랜트기획팀
전력플랜트,2026-04,69002,71363,2361,103.4,6215,6798,전력플랜트기획팀
전력플랜트,2026-05,61982,72358,10376,116.7,7226,7969,전력플랜트기획팀
전력플랜트,2026-06,70523,74234,3711,105.3,7243,7599,전력플랜트기획팀
물류솔루션,2024-07,27420,28287,867,103.2,1993,1842,물류솔루션기획팀
물류솔루션,2024-08,27594,28365,771,102.8,2330,2110,물류솔루션기획팀
물류솔루션,2024-09,27615,28219,604,102.2,1906,2172,물류솔루션기획팀
물류솔루션,2024-10,30215,29476,-739,97.6,1969,2332,물류솔루션기획팀
물류솔루션,2024-11,29329,28481,-848,97.1,1751,1801,물류솔루션기획팀
물류솔루션,2024-12,29774,28907,-867,97.1,1613,1896,물류솔루션기획팀
물류솔루션,2025-01,25861,28901,3040,111.8,2467,2016,물류솔루션기획팀
물류솔루션,2025-02,27237,27815,578,102.1,1940,1881,물류솔루션기획팀
물류솔루션,2025-03,28578,29670,1092,103.8,2111,1953,물류솔루션기획팀
물류솔루션,2025-04,29682,30240,558,101.9,2478,2215,물류솔루션기획팀
물류솔루션,2025-05,27505,29804,2299,108.4,1898,1773,물류솔루션기획팀
물류솔루션,2025-06,27844,29056,1212,104.4,2653,2592,물류솔루션기획팀
물류솔루션,2025-07,29269,29765,496,101.7,1620,1868,물류솔루션기획팀
물류솔루션,2025-08,31703,30843,-860,97.3,1751,1844,물류솔루션기획팀
물류솔루션,2025-09,30290,30477,187,100.6,2426,2330,물류솔루션기획팀
물류솔루션,2025-10,30282,31340,1058,103.5,2540,2444,물류솔루션기획팀
물류솔루션,2025-11,28909,29629,720,102.5,1457,1895,물류솔루션기획팀
물류솔루션,2025-12,31098,31690,592,101.9,2042,2249,물류솔루션기획팀
물류솔루션,2026-01,30682,30417,-265,99.1,1905,2020,물류솔루션기획팀
물류솔루션,2026-02,31219,31780,561,101.8,1920,2280,물류솔루션기획팀
물류솔루션,2026-03,31377,30898,-479,98.5,1871,1978,물류솔루션기획팀
물류솔루션,2026-04,28158,31147,2989,110.6,2241,2185,물류솔루션기획팀
물류솔루션,2026-05,32129,30964,-1165,96.4,2469,2418,물류솔루션기획팀
물류솔루션,2026-06,32037,33645,1608,105.0,2411,2493,물류솔루션기획팀
식량자원,2024-07,38044,37331,-713,98.1,2164,2178,식량자원기획팀
식량자원,2024-08,36637,33821,-2816,92.3,1727,1715,식량자원기획팀
식량자원,2024-09,39181,37699,-1482,96.2,2263,2256,식량자원기획팀
식량자원,2024-10,39678,40172,494,101.2,1628,1765,식량자원기획팀
식량자원,2024-11,39296,39625,329,100.8,1933,1913,식량자원기획팀
식량자원,2024-12,36331,39158,2827,107.8,2599,2442,식량자원기획팀
식량자원,2025-01,34196,35152,956,102.8,2098,1827,식량자원기획팀
식량자원,2025-02,35203,35674,471,101.3,1340,1368,식량자원기획팀
식량자원,2025-03,41633,39325,-2308,94.5,2672,2386,식량자원기획팀
식량자원,2025-04,46247,45131,-1116,97.6,2798,2990,식량자원기획팀
식량자원,2025-05,42894,44342,1448,103.4,2287,2131,식량자원기획팀
식량자원,2025-06,39109,40562,1453,103.7,2551,2527,식량자원기획팀
식량자원,2025-07,35667,35473,-194,99.5,2458,2207,식량자원기획팀
식량자원,2025-08,34420,35283,863,102.5,1809,1761,식량자원기획팀
식량자원,2025-09,39055,37860,-1195,96.9,2027,2079,식량자원기획팀
식량자원,2025-10,39698,41571,1873,104.7,2146,2172,식량자원기획팀
식량자원,2025-11,39827,40603,776,101.9,2226,2269,식량자원기획팀
식량자원,2025-12,40351,41101,750,101.9,2927,2630,식량자원기획팀
식량자원,2026-01,37485,37327,-158,99.6,2035,1940,식량자원기획팀
식량자원,2026-02,36484,36969,485,101.3,2071,2064,식량자원기획팀
식량자원,2026-03,39425,41319,1894,104.8,2601,2453,식량자원기획팀
식량자원,2026-04,45227,44411,-816,98.2,2647,2677,식량자원기획팀
식량자원,2026-05,45780,46457,677,101.5,2794,2676,식량자원기획팀
식량자원,2026-06,40506,42263,1757,104.3,2853,2586,식량자원기획팀
그린에너지,2024-07,22339,20669,-1670,92.5,1266,952,그린에너지기획팀
그린에너지,2024-08,26961,21193,-5768,78.6,1157,981,그린에너지기획팀
그린에너지,2024-09,25520,21479,-4041,84.2,1161,943,그린에너지기획팀
그린에너지,2024-10,27829,22709,-5120,81.6,1441,1033,그린에너지기획팀
그린에너지,2024-11,26995,22674,-4321,84.0,1227,1084,그린에너지기획팀
그린에너지,2024-12,27646,22915,-4731,82.9,1102,885,그린에너지기획팀
그린에너지,2025-01,24615,22273,-2342,90.5,1296,1038,그린에너지기획팀
그린에너지,2025-02,28549,22756,-5793,79.7,1058,887,그린에너지기획팀
그린에너지,2025-03,27676,23520,-4156,85.0,888,743,그린에너지기획팀
그린에너지,2025-04,26867,23467,-3400,87.3,1089,934,그린에너지기획팀
그린에너지,2025-05,28536,24820,-3716,87.0,921,879,그린에너지기획팀
그린에너지,2025-06,28074,24563,-3511,87.5,1318,1048,그린에너지기획팀
그린에너지,2025-07,28798,25573,-3225,88.8,1115,1007,그린에너지기획팀
그린에너지,2025-08,30587,24969,-5618,81.6,871,715,그린에너지기획팀
그린에너지,2025-09,30948,25924,-5024,83.8,1122,939,그린에너지기획팀
그린에너지,2025-10,30013,25218,-4795,84.0,614,580,그린에너지기획팀
그린에너지,2025-11,33013,27457,-5556,83.2,798,947,그린에너지기획팀
그린에너지,2025-12,28584,25900,-2684,90.6,587,492,그린에너지기획팀
그린에너지,2026-01,29831,26774,-3057,89.8,528,468,그린에너지기획팀
그린에너지,2026-02,32073,26830,-5243,83.7,250,237,그린에너지기획팀
그린에너지,2026-03,33309,26750,-6559,80.3,272,264,그린에너지기획팀
그린에너지,2026-04,32542,27690,-4852,85.1,746,637,그린에너지기획팀
그린에너지,2026-05,32257,28358,-3899,87.9,467,384,그린에너지기획팀
그린에너지,2026-06,33275,29571,-3704,88.9,258,198,그린에너지기획팀
