거래ID,선적일,구분,사업부,거래처,국가,품목,금액_USD,통화,인코텀즈,결제조건,결제예정일,결제상태,연체일수
TRD-25037,2025-03-25,수출,차량소재,Hanoi AutoParts,베트남,차체부품,441400,USD,CFR,T/T 30,2025-05-08,완료,0
TRD-25038,2025-05-18,삼국간,철강판재,Siam Power Ltd,태국,열연코일,201500,USD,DAP,L/C at sight,2025-06-01,완료,0
TRD-25039,2026-01-17,수출,화학에너지,Shanghai Bright Intl,중국,PVC레진,202200,USD,CFR,T/T 30,2026-03-02,완료,0
TRD-25040,2025-08-13,삼국간,식량자원,Chennai Trans Co,인도,밀,190200,USD,CFR,T/T 60,2025-10-26,완료,0
TRD-25041,2026-03-01,수출,식량자원,Hanoi AutoParts,베트남,밀,318100,USD,FOB,L/C at sight,2026-03-15,완료,0
TRD-25042,2025-10-30,수출,전력플랜트,Al-Rashid Trading,UAE,몰드변압기,583900,USD,CFR,T/T 30,2025-12-13,연체,39
TRD-25043,2025-03-26,수출,철강강관,Shanghai Bright Intl,중국,송유관,122900,USD,DAP,L/C Usance 60,2025-06-08,완료,0
TRD-25044,2025-12-14,수출,물류솔루션,Rotterdam AgriTrade,네덜란드,해상운송,372400,USD,FOB,L/C Usance 90,2026-03-28,완료,0
TRD-25045,2026-05-24,수출,그린에너지,PT Nusantara Logam,인도네시아,인버터,363200,USD,FOB,T/T 30,2026-07-07,예정,0
TRD-25046,2026-04-12,수입,전력플랜트,Mumbai Metal Corp,인도,몰드변압기,77100,USD,CIF,L/C Usance 60,2026-06-25,완료,0
TRD-25047,2026-03-02,수출,철강판재,Gulf Petro Chem,사우디,열연코일,46500,USD,DAP,L/C at sight,2026-03-16,완료,0
TRD-25048,2025-04-06,수출,화학에너지,Shanghai Bright Intl,중국,윤활기유,608100,USD,CFR,L/C Usance 60,2025-06-19,완료,0
TRD-25049,2025-06-19,수출,철강판재,Nagoya Parts Co,일본,아연도금강판,232100,USD,FOB,L/C at sight,2025-07-03,완료,0
TRD-25050,2025-01-26,수출,식량자원,PT Nusantara Logam,인도네시아,밀,267000,USD,FOB,T/T 30,2025-03-11,완료,0
TRD-25051,2026-04-06,수출,차량소재,PT Nusantara Logam,인도네시아,차체부품,137300,USD,DAP,L/C at sight,2026-04-20,완료,0
TRD-25052,2025-04-24,수출,식량자원,PT Nusantara Logam,인도네시아,대두,266000,USD,FOB,T/T 60,2025-07-07,완료,0
TRD-25053,2025-03-27,수출,차량소재,Cairo Grid Co,이집트,전장부품,303100,USD,DAP,T/T 60,2025-06-09,완료,0
TRD-25054,2025-09-17,수출,물류솔루션,Lagos Agro Ltd,나이지리아,복합운송,304700,USD,FOB,T/T 30,2025-10-31,완료,0
TRD-25055,2025-12-23,수출,화학에너지,Rotterdam AgriTrade,네덜란드,윤활기유,151600,USD,FOB,T/T 60,2026-03-07,완료,0
TRD-25056,2026-02-23,수출,철강강관,Osaka Trading KK,일본,구조용강관,71700,USD,CFR,L/C Usance 60,2026-05-08,완료,0
TRD-25057,2026-02-11,수출,화학에너지,Hanoi AutoParts,베트남,윤활기유,90400,USD,CFR,L/C Usance 60,2026-04-26,완료,0
TRD-25058,2025-12-07,수입,전력플랜트,Nagoya Parts Co,일본,배전변압기,182600,USD,CIF,L/C at sight,2025-12-21,완료,0
TRD-25059,2025-08-22,수입,물류솔루션,Emirates Steel Est.,UAE,복합운송,46000,USD,FOB,T/T 30,2025-10-05,완료,0
TRD-25060,2025-08-21,수입,그린에너지,Houston Energy LLC,미국,태양광모듈,270000,USD,FOB,T/T 30,2025-10-04,완료,0
TRD-25061,2025-07-29,수입,차량소재,Shanghai Bright Intl,중국,샤시모듈,244200,USD,CIF,L/C Usance 60,2025-10-11,완료,0
TRD-25062,2025-10-12,수출,화학에너지,Mumbai Metal Corp,인도,납사,128200,USD,CFR,L/C at sight,2025-10-26,완료,0
TRD-25063,2026-02-16,수입,철강판재,Gulf Petro Chem,사우디,냉연강판,250100,USD,CIF,T/T 60,2026-05-01,완료,0
TRD-25064,2025-12-17,수입,철강강관,Cairo Grid Co,이집트,송유관,270500,USD,DAP,L/C at sight,2025-12-31,완료,0
TRD-25065,2026-04-21,수입,철강강관,Bangkok Grain House,태국,구조용강관,47700,USD,CIF,T/T 30,2026-06-04,완료,0
TRD-25066,2025-12-29,수출,화학에너지,Nagoya Parts Co,일본,윤활기유,452200,USD,CFR,T/T 60,2026-03-13,완료,0
TRD-25067,2025-06-23,수출,식량자원,Cairo Grid Co,이집트,대두,251000,USD,DAP,T/T 30,2025-08-06,연체,30
TRD-25068,2026-06-13,수입,철강판재,Gulf Petro Chem,사우디,아연도금강판,640500,USD,FOB,T/T 60,2026-08-26,예정,0
TRD-25069,2025-09-16,수출,철강강관,Bangkok Grain House,태국,송유관,85100,USD,CIF,L/C at sight,2025-09-30,완료,0
TRD-25070,2026-01-24,수출,철강판재,Rotterdam AgriTrade,네덜란드,아연도금강판,36500,USD,CIF,L/C at sight,2026-02-07,완료,0
TRD-25071,2025-04-27,수출,화학에너지,Qingdao Chem Group,중국,윤활기유,211800,USD,DAP,L/C at sight,2025-05-11,완료,0
TRD-25072,2026-05-03,수출,철강강관,Al-Rashid Trading,UAE,구조용강관,366700,USD,DAP,L/C Usance 90,2026-08-15,예정,0
TRD-25073,2025-10-05,수출,철강판재,Qingdao Chem Group,중국,열연코일,660500,USD,CIF,L/C Usance 60,2025-12-18,완료,0
TRD-25074,2026-06-25,수출,물류솔루션,PT Nusantara Logam,인도네시아,해상운송,155100,USD,DAP,L/C Usance 90,2026-10-07,예정,0
TRD-25075,2026-02-09,수출,식량자원,Osaka Trading KK,일본,옥수수,111900,USD,CIF,L/C Usance 90,2026-05-24,완료,0
TRD-25076,2025-06-23,수출,차량소재,Al-Rashid Trading,UAE,차체부품,52200,USD,DAP,T/T 60,2025-09-05,완료,0
TRD-25077,2025-02-03,수출,철강판재,Lagos Agro Ltd,나이지리아,아연도금강판,169700,USD,DAP,T/T 30,2025-03-19,완료,0
TRD-25078,2026-03-06,삼국간,차량소재,Qingdao Chem Group,중국,전장부품,198600,USD,DAP,L/C at sight,2026-03-20,완료,0
TRD-25079,2025-06-09,수출,물류솔루션,Houston Energy LLC,미국,해상운송,322000,USD,DAP,L/C at sight,2025-06-23,완료,0
TRD-25080,2025-11-14,수입,화학에너지,Cairo Grid Co,이집트,PVC레진,795800,USD,DAP,L/C Usance 90,2026-02-26,완료,0
TRD-25081,2026-05-13,수출,전력플랜트,Siam Power Ltd,태국,배전변압기,169800,USD,DAP,L/C Usance 90,2026-08-25,예정,0
TRD-25082,2025-08-20,수출,철강판재,Hanoi AutoParts,베트남,냉연강판,280800,USD,CIF,T/T 60,2025-11-02,완료,0
TRD-25083,2025-04-01,수입,물류솔루션,Mumbai Metal Corp,인도,복합운송,1278100,USD,CFR,L/C Usance 60,2025-06-14,완료,0
TRD-25084,2026-06-18,수출,식량자원,Shanghai Bright Intl,중국,옥수수,158800,USD,CIF,T/T 60,2026-08-31,예정,0
TRD-25085,2026-02-13,수출,그린에너지,Houston Energy LLC,미국,인버터,175000,USD,FOB,L/C Usance 60,2026-04-28,완료,0
TRD-25086,2026-04-09,수출,철강판재,Hanoi AutoParts,베트남,냉연강판,352200,USD,CFR,L/C Usance 90,2026-07-22,예정,0
TRD-25087,2025-03-08,수출,차량소재,Osaka Trading KK,일본,샤시모듈,102900,USD,FOB,T/T 30,2025-04-21,완료,0
TRD-25088,2026-01-08,수출,차량소재,Lagos Agro Ltd,나이지리아,샤시모듈,144500,USD,CFR,T/T 30,2026-02-21,완료,0
TRD-25089,2026-01-01,수출,식량자원,Hanoi AutoParts,베트남,밀,189400,USD,DAP,L/C Usance 90,2026-04-15,완료,0
TRD-25090,2026-01-30,수입,식량자원,Qingdao Chem Group,중국,대두,216300,USD,CFR,T/T 30,2026-03-15,완료,0
TRD-25091,2026-01-24,수출,식량자원,Rotterdam AgriTrade,네덜란드,대두,483000,USD,FOB,L/C Usance 60,2026-04-08,완료,0
TRD-25092,2026-06-22,수출,그린에너지,Qingdao Chem Group,중국,인버터,205700,USD,CFR,L/C Usance 90,2026-10-04,예정,0
TRD-25093,2026-01-16,수입,화학에너지,Lagos Agro Ltd,나이지리아,PVC레진,547100,USD,DAP,L/C Usance 90,2026-04-30,연체,70
TRD-25094,2026-02-13,수출,화학에너지,Chennai Trans Co,인도,윤활기유,195600,USD,CFR,L/C at sight,2026-02-27,완료,0
TRD-25095,2026-03-17,수출,전력플랜트,Gulf Petro Chem,사우디,배전변압기,118900,USD,CFR,T/T 30,2026-04-30,완료,0
TRD-25096,2026-06-06,수출,철강강관,Lagos Agro Ltd,나이지리아,구조용강관,50200,USD,DAP,L/C Usance 90,2026-09-18,예정,0
TRD-25097,2026-01-21,수출,철강강관,Gulf Petro Chem,사우디,구조용강관,279100,USD,CIF,L/C at sight,2026-02-04,완료,0
TRD-25098,2026-05-12,삼국간,차량소재,Emirates Steel Est.,UAE,전장부품,83600,USD,DAP,L/C Usance 60,2026-07-25,예정,0
TRD-25099,2025-07-24,삼국간,화학에너지,Mumbai Metal Corp,인도,PVC레진,192700,USD,FOB,L/C Usance 90,2025-11-05,완료,0
TRD-25100,2026-04-10,수출,그린에너지,Emirates Steel Est.,UAE,인버터,88900,USD,DAP,L/C Usance 60,2026-06-23,완료,0
TRD-25101,2025-06-13,수출,전력플랜트,Nagoya Parts Co,일본,개폐기,243100,USD,CFR,T/T 60,2025-08-26,완료,0
TRD-25102,2026-04-13,삼국간,물류솔루션,Rotterdam AgriTrade,네덜란드,해상운송,98900,USD,CFR,T/T 60,2026-06-26,완료,0
TRD-25103,2025-03-01,수입,철강판재,Chennai Trans Co,인도,냉연강판,129100,USD,CIF,T/T 60,2025-05-14,완료,0
TRD-25104,2025-04-25,수입,전력플랜트,Gulf Petro Chem,사우디,배전변압기,273500,USD,CFR,T/T 60,2025-07-08,완료,0
TRD-25105,2025-10-08,수출,그린에너지,Qingdao Chem Group,중국,태양광모듈,42000,USD,DAP,L/C at sight,2025-10-22,연체,6
TRD-25106,2025-12-18,수출,차량소재,Emirates Steel Est.,UAE,샤시모듈,645800,USD,CIF,T/T 30,2026-01-31,완료,0
TRD-25107,2025-05-29,수출,식량자원,Houston Energy LLC,미국,대두,175800,USD,FOB,L/C Usance 90,2025-09-10,완료,0
TRD-25108,2025-10-15,수출,철강강관,Chennai Trans Co,인도,송유관,240600,USD,CFR,L/C at sight,2025-10-29,완료,0
TRD-25109,2025-07-13,수입,식량자원,Osaka Trading KK,일본,밀,626600,USD,FOB,L/C Usance 60,2025-09-25,완료,0
TRD-25110,2025-05-17,수출,화학에너지,Nagoya Parts Co,일본,PVC레진,103500,USD,CFR,L/C Usance 60,2025-07-30,완료,0
TRD-25111,2026-05-21,수출,그린에너지,Houston Energy LLC,미국,인버터,203100,USD,CIF,L/C Usance 60,2026-08-03,예정,0
TRD-25112,2026-02-22,삼국간,화학에너지,Cairo Grid Co,이집트,납사,180800,USD,CIF,T/T 60,2026-05-07,완료,0
TRD-25113,2026-06-21,수입,철강판재,Viet Thanh Steel,베트남,냉연강판,73800,USD,DAP,L/C at sight,2026-07-05,예정,0
TRD-25114,2025-12-17,수출,화학에너지,Al-Rashid Trading,UAE,윤활기유,190700,USD,DAP,L/C at sight,2025-12-31,완료,0
TRD-25115,2025-06-26,수출,차량소재,Rotterdam AgriTrade,네덜란드,샤시모듈,187900,USD,DAP,T/T 30,2025-08-09,완료,0
TRD-25116,2025-12-01,수출,식량자원,Cairo Grid Co,이집트,옥수수,35800,USD,FOB,L/C at sight,2025-12-15,연체,59
TRD-25117,2026-06-10,수입,전력플랜트,Gulf Petro Chem,사우디,몰드변압기,422000,USD,DAP,L/C Usance 90,2026-09-22,예정,0
TRD-25118,2025-07-15,삼국간,식량자원,Chennai Trans Co,인도,대두,193700,USD,FOB,L/C at sight,2025-07-29,완료,0
TRD-25119,2025-05-27,수출,전력플랜트,Qingdao Chem Group,중국,개폐기,127100,USD,DAP,T/T 60,2025-08-09,완료,0
TRD-25120,2025-09-06,수출,화학에너지,Viet Thanh Steel,베트남,납사,165000,USD,CFR,L/C at sight,2025-09-20,완료,0
TRD-25121,2026-01-26,수입,식량자원,Viet Thanh Steel,베트남,대두,58900,USD,CFR,L/C at sight,2026-02-09,완료,0
TRD-25122,2025-07-30,수출,철강강관,Osaka Trading KK,일본,송유관,48000,USD,CFR,T/T 30,2025-09-12,완료,0
TRD-25123,2025-09-04,삼국간,전력플랜트,Mumbai Metal Corp,인도,몰드변압기,166500,USD,CFR,L/C Usance 60,2025-11-17,완료,0
TRD-25124,2025-07-04,수출,철강강관,Lagos Agro Ltd,나이지리아,송유관,312600,USD,DAP,T/T 60,2025-09-16,완료,0
TRD-25125,2025-10-26,수출,화학에너지,Osaka Trading KK,일본,윤활기유,525800,USD,CFR,L/C Usance 90,2026-02-07,완료,0
TRD-25126,2025-08-17,수출,화학에너지,Shanghai Bright Intl,중국,PVC레진,436400,USD,CIF,L/C Usance 60,2025-10-30,완료,0
TRD-25127,2025-07-05,수출,전력플랜트,Hamburg Stahl GmbH,독일,개폐기,79700,USD,FOB,T/T 60,2025-09-17,완료,0
TRD-25128,2025-04-06,수입,전력플랜트,Gulf Petro Chem,사우디,개폐기,279400,USD,DAP,L/C at sight,2025-04-20,완료,0
TRD-25129,2026-06-14,수출,전력플랜트,Qingdao Chem Group,중국,몰드변압기,81100,USD,DAP,T/T 60,2026-08-27,예정,0
TRD-25130,2025-04-22,수입,전력플랜트,Rotterdam AgriTrade,네덜란드,개폐기,208400,USD,CIF,L/C Usance 60,2025-07-05,완료,0
TRD-25131,2026-06-27,수입,화학에너지,Chennai Trans Co,인도,PVC레진,16200,USD,CIF,L/C Usance 60,2026-09-09,예정,0
TRD-25132,2025-11-20,삼국간,물류솔루션,Qingdao Chem Group,중국,복합운송,98300,USD,DAP,L/C Usance 60,2026-02-02,완료,0
TRD-25133,2026-06-09,수출,물류솔루션,Al-Rashid Trading,UAE,해상운송,214300,USD,CFR,L/C Usance 60,2026-08-22,예정,0
TRD-25134,2025-09-10,수출,그린에너지,Cairo Grid Co,이집트,태양광모듈,57700,USD,FOB,L/C at sight,2025-09-24,완료,0
TRD-25135,2025-03-06,삼국간,그린에너지,Shanghai Bright Intl,중국,태양광모듈,146000,USD,DAP,T/T 60,2025-05-19,완료,0
TRD-25136,2025-03-17,삼국간,화학에너지,Viet Thanh Steel,베트남,납사,136300,USD,CFR,L/C Usance 90,2025-06-29,완료,0
TRD-25137,2025-08-11,수출,철강강관,Osaka Trading KK,일본,송유관,174500,USD,DAP,L/C Usance 60,2025-10-24,완료,0
TRD-25138,2025-08-19,수출,그린에너지,Gulf Petro Chem,사우디,인버터,138200,USD,CFR,L/C Usance 90,2025-12-01,연체,32
TRD-25139,2026-02-19,수출,물류솔루션,Qingdao Chem Group,중국,해상운송,63300,USD,FOB,L/C at sight,2026-03-05,완료,0
TRD-25140,2025-09-07,수출,철강강관,Hamburg Stahl GmbH,독일,송유관,160500,USD,CFR,L/C Usance 60,2025-11-20,완료,0
TRD-25141,2026-04-07,수출,그린에너지,Cairo Grid Co,이집트,태양광모듈,125200,USD,CFR,T/T 60,2026-06-20,연체,37
TRD-25142,2025-03-06,수입,식량자원,Houston Energy LLC,미국,옥수수,140800,USD,FOB,L/C Usance 90,2025-06-18,완료,0
TRD-25143,2026-04-28,수출,그린에너지,Nagoya Parts Co,일본,태양광모듈,120500,USD,FOB,L/C at sight,2026-05-12,완료,0
TRD-25144,2025-08-17,수출,화학에너지,Mumbai Metal Corp,인도,납사,98400,USD,CIF,T/T 60,2025-10-30,완료,0
TRD-25145,2025-09-28,수입,철강판재,Hanoi AutoParts,베트남,아연도금강판,320800,USD,FOB,T/T 60,2025-12-11,완료,0
TRD-25146,2025-03-01,수출,그린에너지,Qingdao Chem Group,중국,태양광모듈,268800,USD,FOB,T/T 60,2025-05-14,완료,0
TRD-25147,2025-12-22,수출,전력플랜트,Lagos Agro Ltd,나이지리아,배전변압기,209100,USD,DAP,L/C at sight,2026-01-05,완료,0
TRD-25148,2025-11-14,수입,차량소재,Shanghai Bright Intl,중국,전장부품,88900,USD,CIF,L/C Usance 90,2026-02-26,연체,60
TRD-25149,2025-04-29,수입,물류솔루션,Nagoya Parts Co,일본,복합운송,350600,USD,DAP,T/T 60,2025-07-12,완료,0
TRD-25150,2026-03-06,수출,식량자원,Dallas Solar Inc,미국,대두,148500,USD,CIF,L/C Usance 60,2026-05-19,완료,0
TRD-25151,2026-04-09,수출,물류솔루션,Houston Energy LLC,미국,복합운송,149800,USD,CFR,T/T 60,2026-06-22,연체,61
TRD-25152,2025-01-19,수출,식량자원,Osaka Trading KK,일본,옥수수,266400,USD,CFR,T/T 60,2025-04-03,완료,0
TRD-25153,2026-06-11,수입,그린에너지,Hanoi AutoParts,베트남,태양광모듈,119400,USD,DAP,L/C Usance 60,2026-08-24,예정,0
TRD-25154,2026-02-16,수출,식량자원,Viet Thanh Steel,베트남,대두,201800,USD,CFR,L/C Usance 90,2026-05-31,완료,0
TRD-25155,2025-09-14,수출,화학에너지,Osaka Trading KK,일본,PVC레진,212200,USD,DAP,L/C at sight,2025-09-28,완료,0
TRD-25156,2025-03-30,수입,그린에너지,Mumbai Metal Corp,인도,ESS배터리,111000,USD,FOB,T/T 30,2025-05-13,완료,0
TRD-25157,2025-12-04,수출,식량자원,Lagos Agro Ltd,나이지리아,밀,349000,USD,CFR,T/T 30,2026-01-17,완료,0
TRD-25158,2025-03-05,삼국간,차량소재,Shanghai Bright Intl,중국,전장부품,483800,USD,DAP,L/C Usance 90,2025-06-17,연체,36
TRD-25159,2025-12-06,수입,식량자원,Qingdao Chem Group,중국,대두,87000,USD,CIF,L/C Usance 60,2026-02-18,완료,0
TRD-25160,2026-06-25,수입,철강판재,Lagos Agro Ltd,나이지리아,아연도금강판,250900,USD,CIF,T/T 60,2026-09-07,예정,0
TRD-25161,2026-04-19,수출,전력플랜트,Mumbai Metal Corp,인도,배전변압기,733400,USD,CFR,L/C at sight,2026-05-03,완료,0
TRD-25162,2025-11-29,수출,물류솔루션,Osaka Trading KK,일본,해상운송,106900,USD,CIF,L/C Usance 90,2026-03-13,완료,0
TRD-25163,2025-03-13,수출,철강판재,Mumbai Metal Corp,인도,열연코일,96300,USD,CFR,T/T 30,2025-04-26,완료,0
TRD-25164,2026-01-11,수출,그린에너지,Osaka Trading KK,일본,인버터,213900,USD,CIF,L/C Usance 60,2026-03-26,완료,0
TRD-25165,2025-11-21,수입,그린에너지,Hamburg Stahl GmbH,독일,인버터,53300,USD,CIF,L/C Usance 90,2026-03-05,완료,0
TRD-25166,2026-03-28,수출,식량자원,Hamburg Stahl GmbH,독일,옥수수,260600,USD,DAP,L/C at sight,2026-04-11,완료,0
TRD-25167,2025-10-08,수출,물류솔루션,Houston Energy LLC,미국,복합운송,156900,USD,FOB,T/T 30,2025-11-21,완료,0
TRD-25168,2025-12-16,수입,식량자원,Viet Thanh Steel,베트남,밀,350200,USD,CFR,T/T 60,2026-02-28,완료,0
TRD-25169,2026-05-22,수출,철강강관,Mumbai Metal Corp,인도,구조용강관,663000,USD,CIF,T/T 60,2026-08-04,예정,0
TRD-25170,2025-02-28,수출,식량자원,Cairo Grid Co,이집트,밀,199400,USD,CFR,L/C at sight,2025-03-14,연체,54
TRD-25171,2025-12-21,수출,철강판재,Chennai Trans Co,인도,냉연강판,347900,USD,DAP,L/C Usance 90,2026-04-04,완료,0
TRD-25172,2025-09-22,수출,물류솔루션,Emirates Steel Est.,UAE,해상운송,218700,USD,CFR,T/T 30,2025-11-05,완료,0
TRD-25173,2026-05-21,삼국간,물류솔루션,Osaka Trading KK,일본,복합운송,66600,USD,FOB,L/C at sight,2026-06-04,연체,69
TRD-25174,2025-05-25,수출,식량자원,Rotterdam AgriTrade,네덜란드,옥수수,220200,USD,CFR,L/C Usance 60,2025-08-07,완료,0
TRD-25175,2026-05-02,수입,전력플랜트,Houston Energy LLC,미국,몰드변압기,139800,USD,FOB,L/C at sight,2026-05-16,완료,0
TRD-25176,2026-02-06,삼국간,식량자원,Hamburg Stahl GmbH,독일,옥수수,146500,USD,DAP,L/C Usance 60,2026-04-21,완료,0
TRD-25177,2025-11-28,수출,차량소재,Mumbai Metal Corp,인도,샤시모듈,3219900,USD,CFR,L/C Usance 90,2026-03-12,완료,0
TRD-25178,2025-01-31,수출,철강강관,Gulf Petro Chem,사우디,송유관,392100,USD,DAP,L/C at sight,2025-02-14,완료,0
TRD-25179,2025-09-27,삼국간,화학에너지,Cairo Grid Co,이집트,윤활기유,112300,USD,FOB,T/T 60,2025-12-10,완료,0
TRD-25180,2026-06-11,수출,그린에너지,Shanghai Bright Intl,중국,태양광모듈,74200,USD,FOB,L/C Usance 90,2026-09-23,예정,0
TRD-25181,2025-02-25,수입,전력플랜트,Gulf Petro Chem,사우디,배전변압기,198900,USD,CFR,T/T 30,2025-04-10,완료,0
TRD-25182,2026-02-07,수출,철강판재,PT Nusantara Logam,인도네시아,열연코일,45500,USD,CIF,L/C Usance 90,2026-05-22,완료,0
TRD-25183,2025-03-24,수입,화학에너지,Mumbai Metal Corp,인도,납사,434400,USD,CFR,L/C Usance 90,2025-07-06,완료,0
TRD-25184,2025-12-25,수출,철강판재,Emirates Steel Est.,UAE,아연도금강판,552100,USD,CIF,T/T 60,2026-03-09,완료,0
TRD-25185,2026-04-26,수입,철강판재,Bangkok Grain House,태국,열연코일,43500,USD,FOB,T/T 30,2026-06-09,완료,0
TRD-25186,2025-10-09,수출,차량소재,Emirates Steel Est.,UAE,차체부품,164200,USD,CFR,T/T 30,2025-11-22,완료,0
TRD-25187,2025-02-17,수출,식량자원,Bangkok Grain House,태국,대두,100000,USD,CFR,T/T 60,2025-05-02,완료,0
TRD-25188,2025-03-05,수출,식량자원,Lagos Agro Ltd,나이지리아,옥수수,114600,USD,FOB,T/T 30,2025-04-18,연체,56
TRD-25189,2026-05-04,수출,그린에너지,Houston Energy LLC,미국,태양광모듈,111900,USD,CIF,L/C Usance 60,2026-07-17,예정,0
TRD-25190,2026-02-25,수출,식량자원,Emirates Steel Est.,UAE,밀,128500,USD,CFR,T/T 30,2026-04-10,완료,0
